,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Vision Céleste,Heavenly Vision,8,11,0.73,73%,22.0,16.0,176,2,11.0,8.0,7.33,5.33
Totem du Gardien,Guardian Totem,9,11,0.82,82%,18.33,15.0,165,3,6.11,5.0,4.58,3.75
Bâton de Conquête,Conquering Staff,6,11,0.55,55%,24.0,13.09,144,2,12.0,6.54,8.0,4.36
Aveuglement,Incapacitor,10,11,0.91,91%,14.4,13.09,144,3,4.8,4.36,3.6,3.27
Le Visionnaire,The Visionary,8,11,0.73,73%,18.0,13.09,144,2,9.0,6.54,6.0,4.36
Esprit de l'Écuyer,Spirit of the Squire,11,11,1.0,100%,12.82,12.82,141,3,4.27,4.27,3.21,3.21
Totem Équivalent,Equivalent Totem,11,11,1.0,100%,12.27,12.27,135,2,6.13,6.13,4.09,4.09
Le Traqueur,The Stalker,7,11,0.64,64%,16.57,10.55,116,3,5.52,3.52,4.14,2.64
Armure d'Obsidienne,Obsidian Battle Plate,5,11,0.45,45%,20.0,9.09,100,2,10.0,4.54,6.67,3.03
Marteau Collecteur,Collecting Hammer,8,11,0.73,73%,12.0,8.73,96,2,6.0,4.37,4.0,2.91
Œil de Lynx,Hawk's Eye,11,11,1.0,100%,8.55,8.55,94,0,Gratuit,Gratuit,8.55,8.55
Amulette Omnisciente,Omnipresent Amulet,6,11,0.55,55%,12.33,6.73,74,0,Gratuit,Gratuit,12.33,6.73
Esprit omniprésent,Omnipresent Spirit,4,11,0.36,36%,18.0,6.55,72,2,9.0,3.27,6.0,2.18
Coup de Mort,Death Helper,6,11,0.55,55%,11.0,6.0,66,1,11.0,6.0,5.5,3.0
Bâton du Conquérant,Staff of Conquered Worlds,5,11,0.45,45%,11.0,5.0,55,0,Gratuit,Gratuit,11.0,5.0
Force Divine,Divine Impetu,4,11,0.36,36%,13.0,4.73,52,0,Gratuit,Gratuit,13.0,4.73
Armure d'Immortel,Immortal Breastplate,3,11,0.27,27%,14.67,4.0,44,1,14.67,4.0,7.33,2.0
Sabre Versatile,Versatil Saber,4,11,0.36,36%,11.0,4.0,44,1,11.0,4.0,5.5,2.0
Marteleur précis,Precise Hammer,2,11,0.18,18%,18.0,3.27,36,1,18.0,3.27,9.0,1.64
Le Marionnettiste,The Puppeteer,1,11,0.09,9%,20.0,1.82,20,2,10.0,0.91,6.67,0.61
Masse de Siège,Siege Mace,1,11,0.09,9%,16.0,1.45,16,0,Gratuit,Gratuit,16.0,1.45
Hache Frénétique,Berseker Ax,1,11,0.09,9%,14.0,1.27,14,2,7.0,0.64,4.67,0.42
Lame Affutée,Sharp Blade,4,11,0.36,36%,3.0,1.09,12,3,1.0,0.36,0.75,0.27
Faux,Scythe,9,11,0.82,82%,1.22,1.0,11,3,0.41,0.33,0.3,0.25
