,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de l'Écuyer,Spirit of the Squire,16,16,1.0,100%,15.19,15.19,243,3,5.06,5.06,3.8,3.8
Le Traqueur,The Stalker,12,16,0.75,75%,20.0,15.0,240,3,6.67,5.0,5.0,3.75
Totem du Gardien,Guardian Totem,16,16,1.0,100%,14.81,14.81,237,3,4.94,4.94,3.7,3.7
Totem Équivalent,Equivalent Totem,16,16,1.0,100%,12.44,12.44,199,3,4.15,4.15,3.11,3.11
Vision Céleste,Heavenly Vision,8,16,0.5,50%,20.0,10.0,160,2,10.0,5.0,6.67,3.33
Aveuglement,Incapacitor,16,16,1.0,100%,9.56,9.56,153,3,3.19,3.19,2.39,2.39
Coup de Mort,Death Helper,11,16,0.69,69%,13.0,8.94,143,1,13.0,8.94,6.5,4.47
Armure d'Obsidienne,Obsidian Battle Plate,7,16,0.44,44%,20.0,8.75,140,2,10.0,4.38,6.67,2.92
Œil de Lynx,Hawk's Eye,16,16,1.0,100%,8.0,8.0,128,0,Gratuit,Gratuit,8.0,8.0
Sabre Versatile,Versatil Saber,7,16,0.44,44%,18.0,7.88,126,1,18.0,7.88,9.0,3.94
Esprit omniprésent,Omnipresent Spirit,6,16,0.38,38%,18.0,6.75,108,2,9.0,3.38,6.0,2.25
Amulette Omnisciente,Omnipresent Amulet,7,16,0.44,44%,15.0,6.56,105,0,Gratuit,Gratuit,15.0,6.56
Armure d'Immortel,Immortal Breastplate,5,16,0.31,31%,20.0,6.25,100,1,20.0,6.25,10.0,3.12
Le Visionnaire,The Visionary,4,16,0.25,25%,18.0,4.5,72,2,9.0,2.25,6.0,1.5
Bâton du Conquérant,Staff of Conquered Worlds,4,16,0.25,25%,15.0,3.75,60,0,Gratuit,Gratuit,15.0,3.75
Bâton de Conquête,Conquering Staff,2,16,0.12,12%,24.0,3.0,48,2,12.0,1.5,8.0,1.0
Marteau Collecteur,Collecting Hammer,5,16,0.31,31%,7.0,2.19,35,2,3.5,1.09,2.33,0.73
Lame Affutée,Sharp Blade,8,16,0.5,50%,3.75,1.88,30,3,1.25,0.63,0.94,0.47
Force Divine,Divine Impetu,2,16,0.12,12%,15.0,1.88,30,0,Gratuit,Gratuit,15.0,1.88
Le Marionnettiste,The Puppeteer,1,16,0.06,6%,20.0,1.25,20,2,10.0,0.62,6.67,0.42
Assistance Divine,Sacred Help,1,16,0.06,6%,20.0,1.25,20,2,10.0,0.62,6.67,0.42
Faux,Scythe,14,16,0.88,88%,1.21,1.06,17,3,0.4,0.35,0.3,0.27
Soif de Sang,Thirsty Dagger,1,16,0.06,6%,15.0,0.94,15,0,Gratuit,Gratuit,15.0,0.94
