,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem du Gardien,Guardian Totem,9,9,1.0,100%,19.78,19.78,178,3,6.59,6.59,4.95,4.95
Esprit de l'Écuyer,Spirit of the Squire,9,9,1.0,100%,17.33,17.33,156,3,5.78,5.78,4.33,4.33
Le Traqueur,The Stalker,8,9,0.89,89%,16.5,14.67,132,3,5.5,4.89,4.12,3.67
Le Visionnaire,The Visionary,7,9,0.78,78%,18.0,14.0,126,2,9.0,7.0,6.0,4.67
Totem Équivalent,Equivalent Totem,9,9,1.0,100%,13.44,13.44,121,2,6.72,6.72,4.48,4.48
Aveuglement,Incapacitor,9,9,1.0,100%,13.33,13.33,120,3,4.44,4.44,3.33,3.33
Bâton de Conquête,Conquering Staff,4,9,0.44,44%,24.0,10.67,96,2,12.0,5.33,8.0,3.56
Vision Céleste,Heavenly Vision,4,9,0.44,44%,22.0,9.78,88,2,11.0,4.89,7.33,3.26
Armure d'Obsidienne,Obsidian Battle Plate,4,9,0.44,44%,20.0,8.89,80,2,10.0,4.45,6.67,2.96
Œil de Lynx,Hawk's Eye,9,9,1.0,100%,8.22,8.22,74,0,Gratuit,Gratuit,8.22,8.22
Assistance Divine,Sacred Help,3,9,0.33,33%,20.0,6.67,60,2,10.0,3.33,6.67,2.22
Coup de Mort,Death Helper,6,9,0.67,67%,10.0,6.67,60,1,10.0,6.67,5.0,3.33
Marteau Collecteur,Collecting Hammer,5,9,0.56,56%,11.0,6.11,55,2,5.5,3.06,3.67,2.04
Amulette Omnisciente,Omnipresent Amulet,5,9,0.56,56%,11.0,6.11,55,0,Gratuit,Gratuit,11.0,6.11
Esprit omniprésent,Omnipresent Spirit,3,9,0.33,33%,18.0,6.0,54,2,9.0,3.0,6.0,2.0
Sabre Versatile,Versatil Saber,4,9,0.44,44%,11.0,4.89,44,1,11.0,4.89,5.5,2.44
Le Marionnettiste,The Puppeteer,2,9,0.22,22%,20.0,4.44,40,2,10.0,2.22,6.67,1.48
Bâton du Conquérant,Staff of Conquered Worlds,2,9,0.22,22%,11.0,2.44,22,0,Gratuit,Gratuit,11.0,2.44
Être de Lumière,Being of Light,1,9,0.11,11%,18.0,2.0,18,1,18.0,2.0,9.0,1.0
Masse de Siège,Siege Mace,1,9,0.11,11%,16.0,1.78,16,0,Gratuit,Gratuit,16.0,1.78
Lame Affutée,Sharp Blade,3,9,0.33,33%,5.0,1.67,15,3,1.67,0.56,1.25,0.42
Armure d'Immortel,Immortal Breastplate,1,9,0.11,11%,14.0,1.56,14,1,14.0,1.56,7.0,0.78
Désintégrateur Magnétique,Magnetic Disintegrator,1,9,0.11,11%,11.0,1.22,11,0,Gratuit,Gratuit,11.0,1.22
Faux,Scythe,8,9,0.89,89%,1.38,1.22,11,3,0.46,0.41,0.34,0.3
Force Divine,Divine Impetu,1,9,0.11,11%,11.0,1.22,11,0,Gratuit,Gratuit,11.0,1.22
