,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de l'Écuyer,Spirit of the Squire,11,12,0.92,92%,18.27,16.75,201,3,6.09,5.58,4.57,4.19
Armure d'Obsidienne,Obsidian Battle Plate,9,12,0.75,75%,20.0,15.0,180,2,10.0,7.5,6.67,5.0
Totem du Gardien,Guardian Totem,12,12,1.0,100%,14.0,14.0,168,3,4.67,4.67,3.5,3.5
Le Traqueur,The Stalker,8,12,0.67,67%,20.0,13.33,160,3,6.67,4.44,5.0,3.33
Aveuglement,Incapacitor,12,12,1.0,100%,12.5,12.5,150,3,4.17,4.17,3.12,3.12
Totem Équivalent,Equivalent Totem,12,12,1.0,100%,12.42,12.42,149,3,4.14,4.14,3.1,3.1
Sabre Versatile,Versatil Saber,8,12,0.67,67%,18.0,12.0,144,1,18.0,12.0,9.0,6.0
Vision Céleste,Heavenly Vision,7,12,0.58,58%,20.0,11.67,140,2,10.0,5.83,6.67,3.89
Amulette Omnisciente,Omnipresent Amulet,8,12,0.67,67%,15.0,10.0,120,0,Gratuit,Gratuit,15.0,10.0
Coup de Mort,Death Helper,9,12,0.75,75%,13.0,9.75,117,1,13.0,9.75,6.5,4.88
Marteau Collecteur,Collecting Hammer,6,12,0.5,50%,17.5,8.75,105,2,8.75,4.38,5.83,2.92
Armure d'Immortel,Immortal Breastplate,5,12,0.42,42%,20.0,8.33,100,1,20.0,8.33,10.0,4.17
Œil de Lynx,Hawk's Eye,12,12,1.0,100%,8.0,8.0,96,0,Gratuit,Gratuit,8.0,8.0
Le Visionnaire,The Visionary,5,12,0.42,42%,18.0,7.5,90,2,9.0,3.75,6.0,2.5
Bâton du Conquérant,Staff of Conquered Worlds,5,12,0.42,42%,15.0,6.25,75,0,Gratuit,Gratuit,15.0,6.25
Force Divine,Divine Impetu,5,12,0.42,42%,15.0,6.25,75,0,Gratuit,Gratuit,15.0,6.25
Bâton de Conquête,Conquering Staff,3,12,0.25,25%,24.0,6.0,72,2,12.0,3.0,8.0,2.0
Lame Affutée,Sharp Blade,9,12,0.75,75%,7.67,5.75,69,3,2.56,1.92,1.92,1.44
Assistance Divine,Sacred Help,3,12,0.25,25%,20.0,5.0,60,2,10.0,2.5,6.67,1.67
Elan de Fureur,Rampage Momentum,3,12,0.25,25%,15.0,3.75,45,1,15.0,3.75,7.5,1.88
Esprit omniprésent,Omnipresent Spirit,2,12,0.17,17%,18.0,3.0,36,2,9.0,1.5,6.0,1.0
Danse Macabre,Dance of Death,3,12,0.25,25%,10.0,2.5,30,1,10.0,2.5,5.0,1.25
Enchaînement Éclair,Unstoppable Lightning,1,12,0.08,8%,22.0,1.83,22,2,11.0,0.92,7.33,0.61
Le Marionnettiste,The Puppeteer,1,12,0.08,8%,20.0,1.67,20,2,10.0,0.83,6.67,0.56
Épée Obscure,Swords of Darkness,1,12,0.08,8%,20.0,1.67,20,1,20.0,1.67,10.0,0.83
Chasseur d'Âmes,Soul Hunter,1,12,0.08,8%,20.0,1.67,20,1,20.0,1.67,10.0,0.83
Marteleur précis,Precise Hammer,1,12,0.08,8%,18.0,1.5,18,1,18.0,1.5,9.0,0.75
Soif de Sang,Thirsty Dagger,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit,15.0,1.25
Faux,Scythe,8,12,0.67,67%,1.75,1.17,14,3,0.58,0.39,0.44,0.29
