,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,17,17,1.0,100%,11.71,11.71,199,2,5.86,5.86,3.9,3.9
Aveuglement,Incapacitor,17,17,1.0,100%,10.94,10.94,186,3,3.65,3.65,2.73,2.73
Vision Céleste,Heavenly Vision,8,17,0.47,47%,22.0,10.35,176,2,11.0,5.17,7.33,3.45
Totem du Gardien,Guardian Totem,12,17,0.71,71%,13.0,9.18,156,3,4.33,3.06,3.25,2.29
Esprit de l'Écuyer,Spirit of the Squire,15,17,0.88,88%,9.8,8.65,147,3,3.27,2.88,2.45,2.16
Œil de Lynx,Hawk's Eye,16,17,0.94,94%,9.0,8.47,144,0,Gratuit,Gratuit,9.0,8.47
Le Traqueur,The Stalker,7,17,0.41,41%,17.71,7.29,124,3,5.9,2.43,4.43,1.82
Armure d'Obsidienne,Obsidian Battle Plate,5,17,0.29,29%,20.0,5.88,100,2,10.0,2.94,6.67,1.96
Bâton de Conquête,Conquering Staff,4,17,0.24,24%,24.0,5.65,96,2,12.0,2.83,8.0,1.88
Esprit omniprésent,Omnipresent Spirit,4,17,0.24,24%,18.0,4.24,72,2,9.0,2.12,6.0,1.41
Coup de Mort,Death Helper,6,17,0.35,35%,12.0,4.24,72,1,12.0,4.24,6.0,2.12
Le Visionnaire,The Visionary,3,17,0.18,18%,18.0,3.18,54,2,9.0,1.59,6.0,1.06
Bâton du Conquérant,Staff of Conquered Worlds,4,17,0.24,24%,11.0,2.59,44,0,Gratuit,Gratuit,11.0,2.59
Le Marionnettiste,The Puppeteer,2,17,0.12,12%,20.0,2.35,40,2,10.0,1.18,6.67,0.78
Lame Affutée,Sharp Blade,7,17,0.41,41%,5.14,2.12,36,3,1.71,0.71,1.28,0.53
Marteau Collecteur,Collecting Hammer,4,17,0.24,24%,7.75,1.82,31,2,3.88,0.91,2.58,0.61
Armure d'Immortel,Immortal Breastplate,2,17,0.12,12%,15.0,1.76,30,1,15.0,1.76,7.5,0.88
Faux,Scythe,17,17,1.0,100%,1.71,1.71,29,3,0.57,0.57,0.43,0.43
Sabre Versatile,Versatil Saber,2,17,0.12,12%,11.0,1.29,22,1,11.0,1.29,5.5,0.65
Adrénaline Arcanique,Arcane Adrenaline,1,17,0.06,6%,16.0,0.94,16,1,16.0,0.94,8.0,0.47
Force Divine,Divine Impetu,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit,15.0,0.88
Chasseur d'Âmes,Soul Hunter,1,17,0.06,6%,15.0,0.88,15,1,15.0,0.88,7.5,0.44
Amulette Omnisciente,Omnipresent Amulet,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit,15.0,0.88
Griffes Sauvages,Wild Claw,1,17,0.06,6%,10.0,0.59,10,3,3.33,0.2,2.5,0.15
