,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem du Gardien,Guardian Totem,15,15,1.0,100%,18.87,18.87,283,3,6.29,6.29,4.72,4.72
Le Traqueur,The Stalker,13,15,0.87,87%,20.0,17.33,260,3,6.67,5.78,5.0,4.33
Aveuglement,Incapacitor,14,15,0.93,93%,13.5,12.6,189,3,4.5,4.2,3.38,3.15
Vision Céleste,Heavenly Vision,9,15,0.6,60%,20.0,12.0,180,2,10.0,6.0,6.67,4.0
Le Visionnaire,The Visionary,10,15,0.67,67%,18.0,12.0,180,2,9.0,6.0,6.0,4.0
Totem Équivalent,Equivalent Totem,15,15,1.0,100%,12.0,12.0,180,3,4.0,4.0,3.0,3.0
Bâton de Conquête,Conquering Staff,7,15,0.47,47%,24.0,11.2,168,2,12.0,5.6,8.0,3.73
Esprit de l'Écuyer,Spirit of the Squire,14,15,0.93,93%,11.79,11.0,165,3,3.93,3.67,2.95,2.75
Œil de Lynx,Hawk's Eye,14,15,0.93,93%,8.0,7.47,112,0,Gratuit,Gratuit,8.0,7.47
Coup de Mort,Death Helper,7,15,0.47,47%,13.0,6.07,91,1,13.0,6.07,6.5,3.04
Amulette Omnisciente,Omnipresent Amulet,6,15,0.4,40%,15.0,6.0,90,0,Gratuit,Gratuit,15.0,6.0
Bâton du Conquérant,Staff of Conquered Worlds,5,15,0.33,33%,15.0,5.0,75,0,Gratuit,Gratuit,15.0,5.0
Sabre Versatile,Versatil Saber,4,15,0.27,27%,18.0,4.8,72,1,18.0,4.8,9.0,2.4
Armure d'Obsidienne,Obsidian Battle Plate,3,15,0.2,20%,20.0,4.0,60,2,10.0,2.0,6.67,1.33
Assistance Divine,Sacred Help,2,15,0.13,13%,20.0,2.67,40,2,10.0,1.33,6.67,0.89
Marteau Collecteur,Collecting Hammer,4,15,0.27,27%,7.0,1.87,28,2,3.5,0.94,2.33,0.62
Le Marionnettiste,The Puppeteer,1,15,0.07,7%,20.0,1.33,20,2,10.0,0.67,6.67,0.44
Être de Lumière,Being of Light,1,15,0.07,7%,20.0,1.33,20,1,20.0,1.33,10.0,0.67
Armure d'Immortel,Immortal Breastplate,1,15,0.07,7%,20.0,1.33,20,1,20.0,1.33,10.0,0.67
Marteleur précis,Precise Hammer,1,15,0.07,7%,18.0,1.2,18,1,18.0,1.2,9.0,0.6
Faux,Scythe,11,15,0.73,73%,1.64,1.2,18,3,0.55,0.4,0.41,0.3
Esprit omniprésent,Omnipresent Spirit,1,15,0.07,7%,18.0,1.2,18,2,9.0,0.6,6.0,0.4
Hache Frénétique,Berseker Ax,1,15,0.07,7%,16.0,1.07,16,2,8.0,0.54,5.33,0.36
Lame Affutée,Sharp Blade,4,15,0.27,27%,3.0,0.8,12,3,1.0,0.27,0.75,0.2
