,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem du Gardien,Guardian Totem,20,20,1.0,100%,16.95,16.95,339,3,5.65,5.65,4.24,4.24
Armure d'Obsidienne,Obsidian Battle Plate,16,20,0.8,80%,20.0,16.0,320,2,10.0,8.0,6.67,5.33
Le Traqueur,The Stalker,16,20,0.8,80%,20.0,16.0,320,3,6.67,5.33,5.0,4.0
Totem Équivalent,Equivalent Totem,20,20,1.0,100%,12.65,12.65,253,3,4.22,4.22,3.16,3.16
Vision Céleste,Heavenly Vision,11,20,0.55,55%,20.0,11.0,220,2,10.0,5.5,6.67,3.67
Esprit de l'Écuyer,Spirit of the Squire,18,20,0.9,90%,12.0,10.8,216,3,4.0,3.6,3.0,2.7
Le Visionnaire,The Visionary,10,20,0.5,50%,18.0,9.0,180,2,9.0,4.5,6.0,3.0
Sabre Versatile,Versatil Saber,10,20,0.5,50%,18.0,9.0,180,1,18.0,9.0,9.0,4.5
Aveuglement,Incapacitor,20,20,1.0,100%,7.8,7.8,156,3,2.6,2.6,1.95,1.95
Œil de Lynx,Hawk's Eye,19,20,0.95,95%,8.0,7.6,152,0,Gratuit,Gratuit,8.0,7.6
Armure d'Immortel,Immortal Breastplate,7,20,0.35,35%,20.0,7.0,140,1,20.0,7.0,10.0,3.5
Amulette Omnisciente,Omnipresent Amulet,8,20,0.4,40%,15.0,6.0,120,0,Gratuit,Gratuit,15.0,6.0
Marteau Collecteur,Collecting Hammer,7,20,0.35,35%,17.0,5.95,119,2,8.5,2.98,5.67,1.98
Coup de Mort,Death Helper,9,20,0.45,45%,13.0,5.85,117,1,13.0,5.85,6.5,2.92
Esprit omniprésent,Omnipresent Spirit,6,20,0.3,30%,18.0,5.4,108,2,9.0,2.7,6.0,1.8
Assistance Divine,Sacred Help,4,20,0.2,20%,20.0,4.0,80,2,10.0,2.0,6.67,1.33
Bâton du Conquérant,Staff of Conquered Worlds,5,20,0.25,25%,15.0,3.75,75,0,Gratuit,Gratuit,15.0,3.75
Bâton de Conquête,Conquering Staff,3,20,0.15,15%,24.0,3.6,72,2,12.0,1.8,8.0,1.2
Marteleur précis,Precise Hammer,3,20,0.15,15%,18.0,2.7,54,1,18.0,2.7,9.0,1.35
Force Divine,Divine Impetu,3,20,0.15,15%,15.0,2.25,45,0,Gratuit,Gratuit,15.0,2.25
Le Marionnettiste,The Puppeteer,2,20,0.1,10%,20.0,2.0,40,2,10.0,1.0,6.67,0.67
Lame Affutée,Sharp Blade,3,20,0.15,15%,8.0,1.2,24,3,2.67,0.4,2.0,0.3
Enchaînement Éclair,Unstoppable Lightning,1,20,0.05,5%,22.0,1.1,22,2,11.0,0.55,7.33,0.37
Faux,Scythe,11,20,0.55,55%,1.45,0.8,16,3,0.48,0.27,0.36,0.2
Elan de Fureur,Rampage Momentum,1,20,0.05,5%,15.0,0.75,15,1,15.0,0.75,7.5,0.38
Soif de Sang,Thirsty Dagger,1,20,0.05,5%,15.0,0.75,15,0,Gratuit,Gratuit,15.0,0.75
Danse Macabre,Dance of Death,1,20,0.05,5%,10.0,0.5,10,1,10.0,0.5,5.0,0.25
