,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de l'Écuyer,Spirit of the Squire,28,29,0.97,97%,16.5,15.93,462,3,5.5,5.31,4.12,3.98
Aveuglement,Incapacitor,28,29,0.97,97%,16.39,15.83,459,3,5.46,5.28,4.1,3.96
Bâton de Conquête,Conquering Staff,17,29,0.59,59%,24.0,14.07,408,2,12.0,7.04,8.0,4.69
Totem du Gardien,Guardian Totem,24,29,0.83,83%,16.92,14.0,406,3,5.64,4.67,4.23,3.5
Armure d'Obsidienne,Obsidian Battle Plate,19,29,0.66,66%,20.0,13.1,380,2,10.0,6.55,6.67,4.37
Le Traqueur,The Stalker,20,29,0.69,69%,18.6,12.83,372,3,6.2,4.28,4.65,3.21
Totem Équivalent,Equivalent Totem,29,29,1.0,100%,12.69,12.69,368,2,6.34,6.34,4.23,4.23
Vision Céleste,Heavenly Vision,15,29,0.52,52%,22.0,11.38,330,2,11.0,5.69,7.33,3.79
Œil de Lynx,Hawk's Eye,29,29,1.0,100%,9.45,9.45,274,0,Gratuit,Gratuit,9.45,9.45
Amulette Omnisciente,Omnipresent Amulet,19,29,0.66,66%,14.16,9.28,269,0,Gratuit,Gratuit,14.16,9.28
Coup de Mort,Death Helper,18,29,0.62,62%,12.33,7.66,222,1,12.33,7.66,6.17,3.83
Le Visionnaire,The Visionary,12,29,0.41,41%,18.0,7.45,216,2,9.0,3.73,6.0,2.48
Sabre Versatile,Versatil Saber,16,29,0.55,55%,11.0,6.07,176,1,11.0,6.07,5.5,3.04
Esprit omniprésent,Omnipresent Spirit,8,29,0.28,28%,18.0,4.97,144,2,9.0,2.48,6.0,1.66
Le Marionnettiste,The Puppeteer,7,29,0.24,24%,20.0,4.83,140,2,10.0,2.42,6.67,1.61
Bâton du Conquérant,Staff of Conquered Worlds,11,29,0.38,38%,11.0,4.17,121,0,Gratuit,Gratuit,11.0,4.17
Force Divine,Divine Impetu,7,29,0.24,24%,13.29,3.21,93,0,Gratuit,Gratuit,13.29,3.21
Assistance Divine,Sacred Help,4,29,0.14,14%,20.0,2.76,80,2,10.0,1.38,6.67,0.92
Marteau Collecteur,Collecting Hammer,5,29,0.17,17%,15.0,2.59,75,2,7.5,1.29,5.0,0.86
Lame Affutée,Sharp Blade,12,29,0.41,41%,4.0,1.66,48,3,1.33,0.55,1.0,0.41
Armure d'Immortel,Immortal Breastplate,3,29,0.1,10%,14.67,1.52,44,1,14.67,1.52,7.33,0.76
Faux,Scythe,26,29,0.9,90%,1.65,1.48,43,3,0.55,0.49,0.41,0.37
Être de Lumière,Being of Light,1,29,0.03,3%,18.0,0.62,18,1,18.0,0.62,9.0,0.31
Marteleur précis,Precise Hammer,1,29,0.03,3%,18.0,0.62,18,1,18.0,0.62,9.0,0.31
Hache Frénétique,Berseker Ax,1,29,0.03,3%,14.0,0.48,14,2,7.0,0.24,4.67,0.16
Désintégrateur Magnétique,Magnetic Disintegrator,1,29,0.03,3%,11.0,0.38,11,0,Gratuit,Gratuit,11.0,0.38
Griffes Sauvages,Wild Claw,1,29,0.03,3%,1.0,0.03,1,3,0.33,0.01,0.25,0.01
