,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,13,13,1.0,100%,17.77,17.77,231,3,5.92,5.92
Économe Sagesse du Trésorier,Treasurer's Wisdom,11,13,0.85,85%,17.0,14.38,187,2,8.5,7.19
Ascension Divine,Divine Ascent,7,13,0.54,54%,25.0,13.46,175,3,8.33,4.49
Faux Assoiffées,Thirsty Scythes,6,13,0.46,46%,25.0,11.54,150,3,8.33,3.85
Lame Insatiable,Fast Furious Blade,9,13,0.69,69%,16.0,11.08,144,2,8.0,5.54
Armure d'Obsidienne,Obsidian Battle Plate,7,13,0.54,54%,20.0,10.77,140,2,10.0,5.38
Aveuglement,Incapacitor,13,13,1.0,100%,9.46,9.46,123,3,3.15,3.15
Hache Frénétique,Berseker Ax,8,13,0.62,62%,14.0,8.62,112,2,7.0,4.31
Lame Affutée,Sharp Blade,10,13,0.77,77%,11.1,8.54,111,3,3.7,2.85
Marteleur précis,Precise Hammer,6,13,0.46,46%,18.0,8.31,108,1,18.0,8.31
Explosion Arcanique,Arcane Explosive,9,13,0.69,69%,12.0,8.31,108,1,12.0,8.31
Chasseresse d'Âmes,Huntress of Souls,5,13,0.38,38%,19.0,7.31,95,1,19.0,7.31
Parchemin Secret,Secret Scroll,5,13,0.38,38%,18.0,6.92,90,2,9.0,3.46
Griffes Démoniaques,Demon Claws,5,13,0.38,38%,17.0,6.54,85,1,17.0,6.54
Assistance Divine,Sacred Help,4,13,0.31,31%,20.0,6.15,80,2,10.0,3.08
Esprit de l'Écuyer,Spirit of the Squire,10,13,0.77,77%,6.6,5.08,66,3,2.2,1.69
Couronne du Roi Nain,Crown of the Dwarf King,5,13,0.38,38%,13.0,5.0,65,0,Gratuit,Gratuit
Bâton Élémentaire,Earthly Staff,4,13,0.31,31%,15.0,4.62,60,0,Gratuit,Gratuit
Chasseur d'Âmes,Soul Hunter,4,13,0.31,31%,15.0,4.62,60,1,15.0,4.62
Totem du Gardien,Guardian Totem,13,13,1.0,100%,4.31,4.31,56,3,1.44,1.44
Mental d'Acier,Steel Aura,3,13,0.23,23%,18.0,4.15,54,2,9.0,2.08
Esprit Guerrier,Spirit of the Warrior,3,13,0.23,23%,16.0,3.69,48,1,16.0,3.69
Épée Obscure,Swords of Darkness,3,13,0.23,23%,15.0,3.46,45,1,15.0,3.46
Elan de Fureur,Rampage Momentum,3,13,0.23,23%,15.0,3.46,45,2,7.5,1.73
Masse Colossale,Colossal Mace,4,13,0.31,31%,11.0,3.38,44,0,Gratuit,Gratuit
Armure d'Immortel,Immortal Breastplate,3,13,0.23,23%,14.0,3.23,42,1,14.0,3.23
Danse Macabre,Dance of Death,5,13,0.38,38%,8.0,3.08,40,1,8.0,3.08
Enchaînement Éclair,Unstoppable Lightning,2,13,0.15,15%,18.0,2.77,36,1,18.0,2.77
Sabre Versatile,Versatil Saber,3,13,0.23,23%,11.0,2.54,33,1,11.0,2.54
Épées Jumelles,Twin Swords,3,13,0.23,23%,10.0,2.31,30,1,10.0,2.31
Instinct Sanguinaire,Bloody Instinct,2,13,0.15,15%,15.0,2.31,30,2,7.5,1.16
Le Croque-mort,The Undertaker,2,13,0.15,15%,14.0,2.15,28,1,14.0,2.15
Désintégrateur Magnétique,Magnetic Disintegrator,2,13,0.15,15%,11.0,1.69,22,0,Gratuit,Gratuit
Destruction Royale,Royal Destroyer,2,13,0.15,15%,11.0,1.69,22,0,Gratuit,Gratuit
Griffes Sauvages,Wild Claw,11,13,0.85,85%,1.91,1.62,21,3,0.64,0.54
Glaive Vindicatif,Large Sword of Hate,1,13,0.08,8%,20.0,1.54,20,1,20.0,1.54
Le Marionnettiste,The Puppeteer,1,13,0.08,8%,20.0,1.54,20,2,10.0,0.77
Épé Sainte,Holy Sword,2,13,0.15,15%,10.0,1.54,20,0,Gratuit,Gratuit
Coup de Mort,Death Helper,2,13,0.15,15%,10.0,1.54,20,1,10.0,1.54
Tombeau Rocheux,Rock Tomb,2,13,0.15,15%,10.0,1.54,20,1,10.0,1.54
Pillard Féroce,Savage Looter,1,13,0.08,8%,20.0,1.54,20,1,20.0,1.54
Masse de Siège,Siege Mace,1,13,0.08,8%,16.0,1.23,16,0,Gratuit,Gratuit
Esquive Salvatrice,Evasive Protection,1,13,0.08,8%,15.0,1.15,15,0,Gratuit,Gratuit
Force Divine,Divine Impetu,1,13,0.08,8%,11.0,0.85,11,0,Gratuit,Gratuit
Lance Doublée,Dual Spear,1,13,0.08,8%,8.0,0.62,8,0,Gratuit,Gratuit
