,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total
Faux,Scythe,12,12,1.0,100%,13.5,13.5,162,3,4.5,4.5
Ascension Divine,Divine Ascent,4,12,0.33,33%,25.0,8.33,100,3,8.33,2.78
Aveuglement,Incapacitor,11,12,0.92,92%,8.73,8.0,96,3,2.91,2.67
Armure d'Obsidienne,Obsidian Battle Plate,4,12,0.33,33%,20.0,6.67,80,2,10.0,3.33
Économe Sagesse du Trésorier,Treasurer's Wisdom,4,12,0.33,33%,17.0,5.67,68,2,8.5,2.83
Lame Affutée,Sharp Blade,10,12,0.83,83%,5.7,4.75,57,3,1.9,1.58
Totem du Gardien,Guardian Totem,12,12,1.0,100%,4.58,4.58,55,3,1.53,1.53
Faux Assoiffées,Thirsty Scythes,2,12,0.17,17%,25.0,4.17,50,3,8.33,1.39
Esprit de l'Écuyer,Spirit of the Squire,9,12,0.75,75%,5.0,3.75,45,3,1.67,1.25
Épée Obscure,Swords of Darkness,3,12,0.25,25%,15.0,3.75,45,1,15.0,3.75
Hache Frénétique,Berseker Ax,3,12,0.25,25%,14.0,3.5,42,2,7.0,1.75
Explosion Arcanique,Arcane Explosive,3,12,0.25,25%,12.0,3.0,36,1,12.0,3.0
Épées Jumelles,Twin Swords,3,12,0.25,25%,10.0,2.5,30,1,10.0,2.5
Armure d'Immortel,Immortal Breastplate,2,12,0.17,17%,14.0,2.33,28,1,14.0,2.33
Le Marionnettiste,The Puppeteer,1,12,0.08,8%,20.0,1.67,20,2,10.0,0.83
Assistance Divine,Sacred Help,1,12,0.08,8%,20.0,1.67,20,2,10.0,0.83
Marteleur précis,Precise Hammer,1,12,0.08,8%,18.0,1.5,18,1,18.0,1.5
Être de Lumière,Being of Light,1,12,0.08,8%,18.0,1.5,18,1,18.0,1.5
Esprit omniprésent,Omnipresent Spirit,1,12,0.08,8%,18.0,1.5,18,2,9.0,0.75
Lance Doublée,Dual Spear,2,12,0.17,17%,8.0,1.33,16,0,Gratuit,Gratuit
Masse de Siège,Siege Mace,1,12,0.08,8%,16.0,1.33,16,0,Gratuit,Gratuit
Instinct Sanguinaire,Bloody Instinct,1,12,0.08,8%,15.0,1.25,15,2,7.5,0.62
Esquive Salvatrice,Evasive Protection,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit
Soif de Sang,Thirsty Dagger,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit
Masse Colossale,Colossal Mace,1,12,0.08,8%,11.0,0.92,11,0,Gratuit,Gratuit
Danse Macabre,Dance of Death,1,12,0.08,8%,8.0,0.67,8,1,8.0,0.67
Griffes Sauvages,Wild Claw,6,12,0.5,50%,1.33,0.67,8,3,0.44,0.22
