,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Ascension Divine,Divine Ascent,10,12,0.83,83%,25.0,20.83,250,3,8.33,6.94,6.25,5.21
Armure d'Obsidienne,Obsidian Battle Plate,11,12,0.92,92%,20.0,18.33,220,2,10.0,9.16,6.67,6.11
Totem Équivalent,Equivalent Totem,12,12,1.0,100%,17.75,17.75,213,2,8.88,8.88,5.92,5.92
Faux,Scythe,12,12,1.0,100%,16.5,16.5,198,3,5.5,5.5,4.12,4.12
Économe Sagesse du Trésorier,Treasurer's Wisdom,9,12,0.75,75%,17.0,12.75,153,2,8.5,6.38,5.67,4.25
Assistance Divine,Sacred Help,6,12,0.5,50%,20.0,10.0,120,2,10.0,5.0,6.67,3.33
Hache Frénétique,Berseker Ax,8,12,0.67,67%,14.0,9.33,112,2,7.0,4.67,4.67,3.11
Esprit de l'Écuyer,Spirit of the Squire,9,12,0.75,75%,10.0,7.5,90,3,3.33,2.5,2.5,1.88
Armure d'Immortel,Immortal Breastplate,6,12,0.5,50%,14.67,7.33,88,1,14.67,7.33,7.33,3.67
Lame Affutée,Sharp Blade,10,12,0.83,83%,8.7,7.25,87,3,2.9,2.42,2.17,1.81
Chasseur d'Âmes,Soul Hunter,5,12,0.42,42%,16.0,6.67,80,1,16.0,6.67,8.0,3.33
Le Marionnettiste,The Puppeteer,4,12,0.33,33%,20.0,6.67,80,2,10.0,3.33,6.67,2.22
Faux Assoiffées,Thirsty Scythes,3,12,0.25,25%,25.0,6.25,75,3,8.33,2.08,6.25,1.56
Marteau Collecteur,Collecting Hammer,6,12,0.5,50%,11.67,5.83,70,2,5.83,2.92,3.89,1.94
Sabre Versatile,Versatil Saber,6,12,0.5,50%,11.0,5.5,66,1,11.0,5.5,5.5,2.75
Explosion Arcanique,Arcane Explosive,5,12,0.42,42%,12.0,5.0,60,1,12.0,5.0,6.0,2.5
Épée Obscure,Swords of Darkness,3,12,0.25,25%,17.0,4.25,51,1,17.0,4.25,8.5,2.12
Aveuglement,Incapacitor,9,12,0.75,75%,5.33,4.0,48,3,1.78,1.33,1.33,1.0
Tombeau Rocheux,Rock Tomb,4,12,0.33,33%,10.0,3.33,40,1,10.0,3.33,5.0,1.67
Totem du Gardien,Guardian Totem,9,12,0.75,75%,4.33,3.25,39,3,1.44,1.08,1.08,0.81
Chasseresse d'Âmes,Huntress of Souls,2,12,0.17,17%,19.0,3.17,38,1,19.0,3.17,9.5,1.58
Coup de Mort,Death Helper,3,12,0.25,25%,12.0,3.0,36,1,12.0,3.0,6.0,1.5
Parchemin Secret,Secret Scroll,2,12,0.17,17%,18.0,3.0,36,2,9.0,1.5,6.0,1.0
Marteleur précis,Precise Hammer,2,12,0.17,17%,18.0,3.0,36,1,18.0,3.0,9.0,1.5
Être de Lumière,Being of Light,2,12,0.17,17%,18.0,3.0,36,1,18.0,3.0,9.0,1.5
Griffes Démoniaques,Demon Claws,2,12,0.17,17%,17.0,2.83,34,1,17.0,2.83,8.5,1.42
Lame Insatiable,Fast Furious Blade,2,12,0.17,17%,16.0,2.67,32,2,8.0,1.33,5.33,0.89
Faux Parfaite,Perfect Scythe,2,12,0.17,17%,15.0,2.5,30,0,Gratuit,Gratuit,15.0,2.5
Gantelet Impérieux,Imperious Gauntlet,1,12,0.08,8%,30.0,2.5,30,1,30.0,2.5,15.0,1.25
Désintégrateur Magnétique,Magnetic Disintegrator,2,12,0.17,17%,11.0,1.83,22,0,Gratuit,Gratuit,11.0,1.83
Pillard Féroce,Savage Looter,1,12,0.08,8%,20.0,1.67,20,1,20.0,1.67,10.0,0.83
Épé Sainte,Holy Sword,2,12,0.17,17%,10.0,1.67,20,0,Gratuit,Gratuit,10.0,1.67
Esprit Guerrier,Spirit of the Warrior,1,12,0.08,8%,16.0,1.33,16,1,16.0,1.33,8.0,0.67
Danse Macabre,Dance of Death,2,12,0.17,17%,8.0,1.33,16,1,8.0,1.33,4.0,0.67
Adrénaline Arcanique,Arcane Adrenaline,1,12,0.08,8%,16.0,1.33,16,1,16.0,1.33,8.0,0.67
Elan de Fureur,Rampage Momentum,1,12,0.08,8%,15.0,1.25,15,2,7.5,0.62,5.0,0.42
Force Divine,Divine Impetu,1,12,0.08,8%,15.0,1.25,15,0,Gratuit,Gratuit,15.0,1.25
Griffes Sauvages,Wild Claw,9,12,0.75,75%,1.44,1.08,13,3,0.48,0.36,0.36,0.27
Couronne du Roi Nain,Crown of the Dwarf King,1,12,0.08,8%,13.0,1.08,13,0,Gratuit,Gratuit,13.0,1.08
Œil de Lynx,Hawk's Eye,1,12,0.08,8%,8.0,0.67,8,0,Gratuit,Gratuit,8.0,0.67
