,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,17,17,1.0,100%,16.47,16.47,280,3,5.49,5.49,4.12,4.12
Faux,Scythe,17,17,1.0,100%,13.71,13.71,233,3,4.57,4.57,3.43,3.43
Marteau Collecteur,Collecting Hammer,14,17,0.82,82%,15.5,12.76,217,2,7.75,6.38,5.17,4.25
Armure d'Obsidienne,Obsidian Battle Plate,9,17,0.53,53%,20.0,10.59,180,2,10.0,5.29,6.67,3.53
Assistance Divine,Sacred Help,9,17,0.53,53%,20.0,10.59,180,2,10.0,5.29,6.67,3.53
Ascension Divine,Divine Ascent,6,17,0.35,35%,25.0,8.82,150,3,8.33,2.94,6.25,2.21
Sabre Versatile,Versatil Saber,8,17,0.47,47%,18.0,8.47,144,1,18.0,8.47,9.0,4.24
Hache Frénétique,Berseker Ax,9,17,0.53,53%,16.0,8.47,144,2,8.0,4.24,5.33,2.82
Esprit de l'Écuyer,Spirit of the Squire,15,17,0.88,88%,9.2,8.12,138,3,3.07,2.71,2.3,2.03
Gantelet Impérieux,Imperious Gauntlet,6,17,0.35,35%,22.0,7.76,132,1,22.0,7.76,11.0,3.88
Faux Parfaite,Perfect Scythe,8,17,0.47,47%,15.0,7.06,120,0,Gratuit,Gratuit,15.0,7.06
Marteleur précis,Precise Hammer,6,17,0.35,35%,18.0,6.35,108,1,18.0,6.35,9.0,3.17
Mental d'Acier,Steel Aura,5,17,0.29,29%,18.0,5.29,90,2,9.0,2.65,6.0,1.76
Armure d'Immortel,Immortal Breastplate,4,17,0.24,24%,20.0,4.71,80,1,20.0,4.71,10.0,2.35
Le Marionnettiste,The Puppeteer,4,17,0.24,24%,20.0,4.71,80,2,10.0,2.35,6.67,1.57
Totem du Gardien,Guardian Totem,17,17,1.0,100%,4.0,4.0,68,3,1.33,1.33,1.0,1.0
Aveuglement,Incapacitor,14,17,0.82,82%,4.71,3.88,66,3,1.57,1.29,1.18,0.97
Explosion Arcanique,Arcane Explosive,5,17,0.29,29%,12.0,3.53,60,1,12.0,3.53,6.0,1.76
Lame Insatiable,Fast Furious Blade,3,17,0.18,18%,18.0,3.18,54,2,9.0,1.59,6.0,1.06
Lame Affutée,Sharp Blade,12,17,0.71,71%,4.5,3.18,54,3,1.5,1.06,1.12,0.8
Coup de Mort,Death Helper,4,17,0.24,24%,13.0,3.06,52,1,13.0,3.06,6.5,1.53
Adrénaline Arcanique,Arcane Adrenaline,3,17,0.18,18%,16.0,2.82,48,1,16.0,2.82,8.0,1.41
Être de Lumière,Being of Light,2,17,0.12,12%,20.0,2.35,40,1,20.0,2.35,10.0,1.18
Chasseur d'Âmes,Soul Hunter,2,17,0.12,12%,20.0,2.35,40,1,20.0,2.35,10.0,1.18
Masse Colossale,Colossal Mace,2,17,0.12,12%,15.0,1.76,30,0,Gratuit,Gratuit,15.0,1.76
Faux Assoiffées,Thirsty Scythes,1,17,0.06,6%,25.0,1.47,25,3,8.33,0.49,6.25,0.37
Œil de Lynx,Hawk's Eye,3,17,0.18,18%,8.0,1.41,24,0,Gratuit,Gratuit,8.0,1.41
Danse Macabre,Dance of Death,2,17,0.12,12%,10.0,1.18,20,1,10.0,1.18,5.0,0.59
Force Divine,Divine Impetu,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit,15.0,0.88
Soif de Sang,Thirsty Dagger,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit,15.0,0.88
Griffes Sauvages,Wild Claw,6,17,0.35,35%,2.17,0.76,13,3,0.72,0.25,0.54,0.19
