,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux Assoiffées,Thirsty Scythes,5,6,0.83,83%,25.0,20.83,125,3,8.33,6.94,6.25,5.21
Faux,Scythe,6,6,1.0,100%,20.67,20.67,124,3,6.89,6.89,5.17,5.17
Totem Équivalent,Equivalent Totem,6,6,1.0,100%,17.0,17.0,102,2,8.5,8.5,5.67,5.67
Économe Sagesse du Trésorier,Treasurer's Wisdom,5,6,0.83,83%,17.0,14.17,85,2,8.5,7.08,5.67,4.72
Hache Frénétique,Berseker Ax,6,6,1.0,100%,14.0,14.0,84,2,7.0,7.0,4.67,4.67
Lame Insatiable,Fast Furious Blade,5,6,0.83,83%,16.0,13.33,80,2,8.0,6.67,5.33,4.44
Ascension Divine,Divine Ascent,3,6,0.5,50%,25.0,12.5,75,3,8.33,4.17,6.25,3.12
Griffes Démoniaques,Demon Claws,4,6,0.67,67%,17.0,11.33,68,1,17.0,11.33,8.5,5.67
Esprit Guerrier,Spirit of the Warrior,4,6,0.67,67%,16.0,10.67,64,1,16.0,10.67,8.0,5.33
Explosion Arcanique,Arcane Explosive,5,6,0.83,83%,12.0,10.0,60,1,12.0,10.0,6.0,5.0
Armure d'Obsidienne,Obsidian Battle Plate,3,6,0.5,50%,20.0,10.0,60,2,10.0,5.0,6.67,3.33
Aveuglement,Incapacitor,6,6,1.0,100%,10.0,10.0,60,3,3.33,3.33,2.5,2.5
Faux Parfaite,Perfect Scythe,4,6,0.67,67%,15.0,10.0,60,0,Gratuit,Gratuit,15.0,10.0
Chasseresse d'Âmes,Huntress of Souls,3,6,0.5,50%,19.0,9.5,57,1,19.0,9.5,9.5,4.75
Marteau Collecteur,Collecting Hammer,4,6,0.67,67%,12.0,8.0,48,2,6.0,4.0,4.0,2.67
Esprit de l'Écuyer,Spirit of the Squire,5,6,0.83,83%,9.0,7.5,45,3,3.0,2.5,2.25,1.88
Lame Affutée,Sharp Blade,5,6,0.83,83%,8.4,7.0,42,3,2.8,2.33,2.1,1.75
Tombeau Rocheux,Rock Tomb,4,6,0.67,67%,10.0,6.67,40,1,10.0,6.67,5.0,3.33
Parchemin Secret,Secret Scroll,2,6,0.33,33%,18.0,6.0,36,2,9.0,3.0,6.0,2.0
Marteleur précis,Precise Hammer,2,6,0.33,33%,18.0,6.0,36,1,18.0,6.0,9.0,3.0
Désintégrateur Magnétique,Magnetic Disintegrator,3,6,0.5,50%,11.0,5.5,33,0,Gratuit,Gratuit,11.0,5.5
Œil de Lynx,Hawk's Eye,4,6,0.67,67%,8.0,5.33,32,0,Gratuit,Gratuit,8.0,5.33
Totem du Gardien,Guardian Totem,6,6,1.0,100%,5.17,5.17,31,3,1.72,1.72,1.29,1.29
Chasseur d'Âmes,Soul Hunter,2,6,0.33,33%,15.0,5.0,30,1,15.0,5.0,7.5,2.5
Couronne du Roi Nain,Crown of the Dwarf King,2,6,0.33,33%,13.0,4.33,26,0,Gratuit,Gratuit,13.0,4.33
Bâton de Conquête,Conquering Staff,1,6,0.17,17%,24.0,4.0,24,2,12.0,2.0,8.0,1.33
Masse Colossale,Colossal Mace,2,6,0.33,33%,11.0,3.67,22,0,Gratuit,Gratuit,11.0,3.67
Sabre Versatile,Versatil Saber,2,6,0.33,33%,11.0,3.67,22,1,11.0,3.67,5.5,1.83
Amulette Omnisciente,Omnipresent Amulet,2,6,0.33,33%,11.0,3.67,22,0,Gratuit,Gratuit,11.0,3.67
Force Divine,Divine Impetu,2,6,0.33,33%,11.0,3.67,22,0,Gratuit,Gratuit,11.0,3.67
Griffes Sauvages,Wild Claw,5,6,0.83,83%,3.8,3.17,19,3,1.27,1.06,0.95,0.79
Esprit omniprésent,Omnipresent Spirit,1,6,0.17,17%,18.0,3.0,18,2,9.0,1.5,6.0,1.0
Décharge Élémentaire,Elemental Discharge,1,6,0.17,17%,18.0,3.0,18,1,18.0,3.0,9.0,1.5
Épée Obscure,Swords of Darkness,1,6,0.17,17%,17.0,2.83,17,1,17.0,2.83,8.5,1.42
Masse de Siège,Siege Mace,1,6,0.17,17%,16.0,2.67,16,0,Gratuit,Gratuit,16.0,2.67
Soif de Sang,Thirsty Dagger,1,6,0.17,17%,15.0,2.5,15,0,Gratuit,Gratuit,15.0,2.5
Armure d'Immortel,Immortal Breastplate,1,6,0.17,17%,14.0,2.33,14,1,14.0,2.33,7.0,1.17
Bâton du Conquérant,Staff of Conquered Worlds,1,6,0.17,17%,11.0,1.83,11,0,Gratuit,Gratuit,11.0,1.83
Coup de Mort,Death Helper,1,6,0.17,17%,10.0,1.67,10,1,10.0,1.67,5.0,0.83
Danse Macabre,Dance of Death,1,6,0.17,17%,8.0,1.33,8,1,8.0,1.33,4.0,0.67
