,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Faux,Scythe,15,15,1.0,100%,18.73,18.73,281,3,6.24,6.24,4.68,4.68
Faux Assoiffées,Thirsty Scythes,11,15,0.73,73%,25.0,18.33,275,3,8.33,6.11,6.25,4.58
Totem Équivalent,Equivalent Totem,15,15,1.0,100%,16.0,16.0,240,3,5.33,5.33,4.0,4.0
Lame Affutée,Sharp Blade,15,15,1.0,100%,15.2,15.2,228,3,5.07,5.07,3.8,3.8
Hache Frénétique,Berseker Ax,14,15,0.93,93%,16.0,14.93,224,2,8.0,7.46,5.33,4.98
Épée Obscure,Swords of Darkness,11,15,0.73,73%,20.0,14.67,220,1,20.0,14.67,10.0,7.33
Lame Insatiable,Fast Furious Blade,12,15,0.8,80%,18.0,14.4,216,2,9.0,7.2,6.0,4.8
Aveuglement,Incapacitor,15,15,1.0,100%,11.0,11.0,165,3,3.67,3.67,2.75,2.75
Esprit Guerrier,Spirit of the Warrior,10,15,0.67,67%,16.0,10.67,160,1,16.0,10.67,8.0,5.33
Bâton de Conquête,Conquering Staff,6,15,0.4,40%,24.0,9.6,144,2,12.0,4.8,8.0,3.2
Sabre Versatile,Versatil Saber,8,15,0.53,53%,18.0,9.6,144,1,18.0,9.6,9.0,4.8
Parchemin Secret,Secret Scroll,8,15,0.53,53%,18.0,9.6,144,2,9.0,4.8,6.0,3.2
Armure d'Obsidienne,Obsidian Battle Plate,7,15,0.47,47%,20.0,9.33,140,2,10.0,4.67,6.67,3.11
Marteau Collecteur,Collecting Hammer,8,15,0.53,53%,17.5,9.33,140,2,8.75,4.67,5.83,3.11
Danse Macabre,Dance of Death,13,15,0.87,87%,10.0,8.67,130,1,10.0,8.67,5.0,4.33
Explosion Arcanique,Arcane Explosive,10,15,0.67,67%,12.0,8.0,120,1,12.0,8.0,6.0,4.0
Décharge Élémentaire,Elemental Discharge,6,15,0.4,40%,20.0,8.0,120,1,20.0,8.0,10.0,4.0
Masse Colossale,Colossal Mace,8,15,0.53,53%,15.0,8.0,120,0,Gratuit,Gratuit,15.0,8.0
Esprit de l'Écuyer,Spirit of the Squire,13,15,0.87,87%,8.54,7.4,111,3,2.85,2.47,2.13,1.85
Marteleur précis,Precise Hammer,6,15,0.4,40%,18.0,7.2,108,1,18.0,7.2,9.0,3.6
Astéroïde Fatal,Final Asteroid,1,15,0.07,7%,100.0,6.67,100,0,Gratuit,Gratuit,100.0,6.67
Elan de Fureur,Rampage Momentum,6,15,0.4,40%,15.0,6.0,90,1,15.0,6.0,7.5,3.0
Enchaînement Éclair,Unstoppable Lightning,4,15,0.27,27%,22.0,5.87,88,2,11.0,2.94,7.33,1.96
Griffes Démoniaques,Demon Claws,5,15,0.33,33%,17.0,5.67,85,1,17.0,5.67,8.5,2.83
Chasseresse d'Âmes,Huntress of Souls,4,15,0.27,27%,20.0,5.33,80,1,20.0,5.33,10.0,2.67
Couronne du Roi Nain,Crown of the Dwarf King,6,15,0.4,40%,13.0,5.2,78,0,Gratuit,Gratuit,13.0,5.2
Pluie de Météorites,Meteorites,1,15,0.07,7%,70.0,4.67,70,0,Gratuit,Gratuit,70.0,4.67
Totem du Gardien,Guardian Totem,15,15,1.0,100%,4.33,4.33,65,3,1.44,1.44,1.08,1.08
Coup de Mort,Death Helper,4,15,0.27,27%,13.0,3.47,52,1,13.0,3.47,6.5,1.74
Ascension Divine,Divine Ascent,2,15,0.13,13%,25.0,3.33,50,3,8.33,1.11,6.25,0.83
Épé Sainte,Holy Sword,3,15,0.2,20%,15.0,3.0,45,0,Gratuit,Gratuit,15.0,3.0
Soif de Sang,Thirsty Dagger,3,15,0.2,20%,15.0,3.0,45,0,Gratuit,Gratuit,15.0,3.0
Aura Légendaire,Legend Aura,1,15,0.07,7%,40.0,2.67,40,3,13.33,0.89,10.0,0.67
Assistance Divine,Sacred Help,2,15,0.13,13%,20.0,2.67,40,2,10.0,1.33,6.67,0.89
Griffes Sauvages,Wild Claw,14,15,0.93,93%,2.79,2.6,39,3,0.93,0.87,0.7,0.65
Esprit omniprésent,Omnipresent Spirit,2,15,0.13,13%,18.0,2.4,36,2,9.0,1.2,6.0,0.8
Œil de Lynx,Hawk's Eye,4,15,0.27,27%,8.0,2.13,32,0,Gratuit,Gratuit,8.0,2.13
Bâton du Conquérant,Staff of Conquered Worlds,2,15,0.13,13%,15.0,2.0,30,0,Gratuit,Gratuit,15.0,2.0
Triple Météore,Trimeteor,1,15,0.07,7%,30.0,2.0,30,0,Gratuit,Gratuit,30.0,2.0
Pillard Féroce,Savage Looter,1,15,0.07,7%,20.0,1.33,20,1,20.0,1.33,10.0,0.67
Le Marionnettiste,The Puppeteer,1,15,0.07,7%,20.0,1.33,20,2,10.0,0.67,6.67,0.44
Armure d'Immortel,Immortal Breastplate,1,15,0.07,7%,20.0,1.33,20,1,20.0,1.33,10.0,0.67
