,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Marteau Dévastateur,Destroyer Hammer,16,16,1.0,100%,11.88,11.88,190,2,5.94,5.94,3.96,3.96
Perce-Écailles,Scale Tearer,13,16,0.81,81%,13.23,10.75,172,3,4.41,3.58,3.31,2.69
Écailles Magiques,Magic Scales,7,16,0.44,44%,23.57,10.31,165,2,11.79,5.16,7.86,3.44
Esprit de la Faille,Spirit of the Rift,6,16,0.38,38%,23.33,8.75,140,2,11.66,4.38,7.78,2.92
Marteau Conquérant,Conquest Hammer,6,16,0.38,38%,22.0,8.25,132,3,7.33,2.75,5.5,2.06
Chasse au Gros,Big Worm Hunter,8,16,0.5,50%,15.38,7.69,123,3,5.13,2.56,3.85,1.92
L'Oeil du Héraut,Eye of the Void,10,16,0.62,62%,12.0,7.5,120,0,Gratuit,Gratuit,12.0,7.5
Première Ligne,First Line,14,16,0.88,88%,8.0,7.0,112,0,Gratuit,Gratuit,8.0,7.0
Masque du Baron,Baron' s Mask,5,16,0.31,31%,21.0,6.56,105,2,10.5,3.28,7.0,2.19
Sceau Profanateur,Seal of Desecration,5,16,0.31,31%,19.2,6.0,96,2,9.6,3.0,6.4,2.0
Protection Royale,Royal Protector,4,16,0.25,25%,17.0,4.25,68,1,17.0,4.25,8.5,2.12
Âme de Dragon Élémentaire,Elemental Dragon Soul,2,16,0.12,12%,25.0,3.12,50,1,25.0,3.12,12.5,1.56
Poigne d'Or,Golden Force,2,16,0.12,12%,23.0,2.88,46,1,23.0,2.88,11.5,1.44
Gardien Sous-terrain,Underworld Guardian,3,16,0.19,19%,15.0,2.81,45,1,15.0,2.81,7.5,1.41
Folie Meurtrière,Killer Momentum,1,16,0.06,6%,30.0,1.88,30,0,Gratuit,Gratuit,30.0,1.88
Frappes Éclair,Light Swords,2,16,0.12,12%,12.0,1.5,24,0,Gratuit,Gratuit,12.0,1.5
