,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de la Faille,Spirit of the Rift,4,7,0.57,57%,25.0,14.29,100,2,12.5,7.14,8.33,4.76
Perce-Écailles,Scale Tearer,4,7,0.57,57%,19.25,11.0,77,3,6.42,3.67,4.81,2.75
Écailles Magiques,Magic Scales,3,7,0.43,43%,25.0,10.71,75,2,12.5,5.36,8.33,3.57
L'Oeil du Héraut,Eye of the Void,4,7,0.57,57%,13.5,7.71,54,0,Gratuit,Gratuit,13.5,7.71
Marteau Dévastateur,Destroyer Hammer,7,7,1.0,100%,5.71,5.71,40,2,2.85,2.85,1.9,1.9
Âme de Dragon Élémentaire,Elemental Dragon Soul,1,7,0.14,14%,25.0,3.57,25,1,25.0,3.57,12.5,1.78
Première Ligne,First Line,3,7,0.43,43%,8.0,3.43,24,0,Gratuit,Gratuit,8.0,3.43
Marteau Conquérant,Conquest Hammer,1,7,0.14,14%,22.0,3.14,22,3,7.33,1.05,5.5,0.79
Gardien Sous-terrain,Underworld Guardian,1,7,0.14,14%,18.0,2.57,18,1,18.0,2.57,9.0,1.28
Sceau Profanateur,Seal of Desecration,1,7,0.14,14%,16.0,2.29,16,2,8.0,1.15,5.33,0.76
Chasse au Gros,Big Worm Hunter,1,7,0.14,14%,15.0,2.14,15,3,5.0,0.71,3.75,0.54
