,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,10,13,0.77,77%,20.5,15.77,205,3,6.83,5.26,5.12,3.94
Esprit de la Faille,Spirit of the Rift,7,13,0.54,54%,22.86,12.31,160,2,11.43,6.16,7.62,4.1
Écailles Magiques,Magic Scales,7,13,0.54,54%,22.14,11.92,155,2,11.07,5.96,7.38,3.97
Marteau Conquérant,Conquest Hammer,7,13,0.54,54%,22.0,11.85,154,3,7.33,3.95,5.5,2.96
Âme de Dragon Élémentaire,Elemental Dragon Soul,6,13,0.46,46%,25.0,11.54,150,1,25.0,11.54,12.5,5.77
Marteau Dévastateur,Destroyer Hammer,12,13,0.92,92%,11.83,10.92,142,2,5.92,5.46,3.94,3.64
Poigne d'Or,Golden Force,5,13,0.38,38%,23.0,8.85,115,1,23.0,8.85,11.5,4.42
Masque du Baron,Baron' s Mask,5,13,0.38,38%,22.0,8.46,110,2,11.0,4.23,7.33,2.82
Chasse au Gros,Big Worm Hunter,7,13,0.54,54%,15.43,8.31,108,3,5.14,2.77,3.86,2.08
L'Oeil du Héraut,Eye of the Void,10,13,0.77,77%,10.2,7.85,102,0,Gratuit,Gratuit,10.2,7.85
Protection Royale,Royal Protector,5,13,0.38,38%,17.0,6.54,85,1,17.0,6.54,8.5,3.27
Gardien Sous-terrain,Underworld Guardian,5,13,0.38,38%,15.0,5.77,75,1,15.0,5.77,7.5,2.88
Première Ligne,First Line,9,13,0.69,69%,8.0,5.54,72,0,Gratuit,Gratuit,8.0,5.54
Folie Meurtrière,Killer Momentum,3,13,0.23,23%,22.0,5.08,66,0,Gratuit,Gratuit,22.0,5.08
Sceau Profanateur,Seal of Desecration,6,13,0.46,46%,10.67,4.92,64,2,5.33,2.46,3.56,1.64
Frappes Éclair,Light Swords,4,13,0.31,31%,12.0,3.69,48,0,Gratuit,Gratuit,12.0,3.69
