,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Esprit de la Faille,Spirit of the Rift,10,13,0.77,77%,21.5,16.54,215,2,10.75,8.27,7.17,5.51
Perce-Écailles,Scale Tearer,10,13,0.77,77%,17.7,13.62,177,3,5.9,4.54,4.42,3.4
Marteau Conquérant,Conquest Hammer,8,13,0.62,62%,22.0,13.54,176,3,7.33,4.51,5.5,3.38
Marteau Dévastateur,Destroyer Hammer,11,13,0.85,85%,15.09,12.77,166,2,7.54,6.38,5.03,4.26
Chasse au Gros,Big Worm Hunter,9,13,0.69,69%,18.22,12.62,164,3,6.07,4.21,4.55,3.15
Écailles Magiques,Magic Scales,7,13,0.54,54%,22.14,11.92,155,2,11.07,5.96,7.38,3.97
Masque du Baron,Baron' s Mask,7,13,0.54,54%,21.43,11.54,150,2,10.71,5.77,7.14,3.85
L'Oeil du Héraut,Eye of the Void,10,13,0.77,77%,11.6,8.92,116,0,Gratuit,Gratuit,11.6,8.92
Âme de Dragon Élémentaire,Elemental Dragon Soul,4,13,0.31,31%,25.0,7.69,100,1,25.0,7.69,12.5,3.85
Sceau Profanateur,Seal of Desecration,8,13,0.62,62%,12.0,7.38,96,2,6.0,3.69,4.0,2.46
Première Ligne,First Line,11,13,0.85,85%,8.0,6.77,88,0,Gratuit,Gratuit,8.0,6.77
Protection Royale,Royal Protector,5,13,0.38,38%,17.0,6.54,85,1,17.0,6.54,8.5,3.27
Poigne d'Or,Golden Force,2,13,0.15,15%,23.0,3.54,46,1,23.0,3.54,11.5,1.77
Gardien Sous-terrain,Underworld Guardian,3,13,0.23,23%,15.0,3.46,45,1,15.0,3.46,7.5,1.73
Frappes Éclair,Light Swords,2,13,0.15,15%,12.0,1.85,24,0,Gratuit,Gratuit,12.0,1.85
Folie Meurtrière,Killer Momentum,1,13,0.08,8%,22.0,1.69,22,0,Gratuit,Gratuit,22.0,1.69
