,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Chasse au Gros,Big Worm Hunter,7,8,0.88,88%,24.14,21.12,169,3,8.05,7.04,6.04,5.28
Perce-Écailles,Scale Tearer,8,8,1.0,100%,17.5,17.5,140,3,5.83,5.83,4.38,4.38
Marteau Dévastateur,Destroyer Hammer,8,8,1.0,100%,17.0,17.0,136,2,8.5,8.5,5.67,5.67
Marteau Conquérant,Conquest Hammer,6,8,0.75,75%,22.0,16.5,132,3,7.33,5.5,5.5,4.12
Âme de Dragon Élémentaire,Elemental Dragon Soul,5,8,0.62,62%,25.0,15.62,125,1,25.0,15.62,12.5,7.81
Masque du Baron,Baron' s Mask,6,8,0.75,75%,20.0,15.0,120,2,10.0,7.5,6.67,5.0
Écailles Magiques,Magic Scales,6,8,0.75,75%,20.0,15.0,120,2,10.0,7.5,6.67,5.0
Poigne d'Or,Golden Force,5,8,0.62,62%,23.0,14.38,115,1,23.0,14.38,11.5,7.19
Folie Meurtrière,Killer Momentum,4,8,0.5,50%,26.0,13.0,104,0,Gratuit,Gratuit,26.0,13.0
Sceau Profanateur,Seal of Desecration,6,8,0.75,75%,17.33,13.0,104,2,8.66,6.5,5.78,4.33
Protection Royale,Royal Protector,6,8,0.75,75%,17.0,12.75,102,1,17.0,12.75,8.5,6.38
Gardien Sous-terrain,Underworld Guardian,6,8,0.75,75%,15.0,11.25,90,1,15.0,11.25,7.5,5.62
Esprit de la Faille,Spirit of the Rift,4,8,0.5,50%,20.0,10.0,80,2,10.0,5.0,6.67,3.33
L'Oeil du Héraut,Eye of the Void,6,8,0.75,75%,12.0,9.0,72,0,Gratuit,Gratuit,12.0,9.0
Première Ligne,First Line,8,8,1.0,100%,8.0,8.0,64,0,Gratuit,Gratuit,8.0,8.0
Frappes Éclair,Light Swords,3,8,0.38,38%,12.0,4.5,36,0,Gratuit,Gratuit,12.0,4.5
