,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Perce-Écailles,Scale Tearer,14,18,0.78,78%,13.43,10.44,188,3,4.48,3.48,3.36,2.61
Masque du Baron,Baron' s Mask,7,18,0.39,39%,23.57,9.17,165,2,11.79,4.58,7.86,3.06
Écailles Magiques,Magic Scales,7,18,0.39,39%,23.57,9.17,165,2,11.79,4.58,7.86,3.06
Marteau Dévastateur,Destroyer Hammer,17,18,0.94,94%,9.06,8.56,154,2,4.53,4.28,3.02,2.85
Chasse au Gros,Big Worm Hunter,8,18,0.44,44%,16.12,7.17,129,3,5.37,2.39,4.03,1.79
Première Ligne,First Line,12,18,0.67,67%,8.0,5.33,96,0,Gratuit,Gratuit,8.0,5.33
Marteau Conquérant,Conquest Hammer,4,18,0.22,22%,22.0,4.89,88,3,7.33,1.63,5.5,1.22
L'Oeil du Héraut,Eye of the Void,8,18,0.44,44%,9.38,4.17,75,0,Gratuit,Gratuit,9.38,4.17
Esprit de la Faille,Spirit of the Rift,3,18,0.17,17%,20.0,3.33,60,2,10.0,1.67,6.67,1.11
Sceau Profanateur,Seal of Desecration,6,18,0.33,33%,9.33,3.11,56,2,4.67,1.55,3.11,1.04
Âme de Dragon Élémentaire,Elemental Dragon Soul,2,18,0.11,11%,25.0,2.78,50,1,25.0,2.78,12.5,1.39
Gardien Sous-terrain,Underworld Guardian,2,18,0.11,11%,15.0,1.67,30,1,15.0,1.67,7.5,0.83
Poigne d'Or,Golden Force,1,18,0.06,6%,23.0,1.28,23,1,23.0,1.28,11.5,0.64
Folie Meurtrière,Killer Momentum,1,18,0.06,6%,22.0,1.22,22,0,Gratuit,Gratuit,22.0,1.22
Protection Royale,Royal Protector,1,18,0.06,6%,17.0,0.94,17,1,17.0,0.94,8.5,0.47
Frappes Éclair,Light Swords,1,18,0.06,6%,12.0,0.67,12,0,Gratuit,Gratuit,12.0,0.67
