,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Marteau Conquérant,Conquest Hammer,4,6,0.67,67%,22.0,14.67,88,3,7.33,4.89,5.5,3.67
Marteau Dévastateur,Destroyer Hammer,6,6,1.0,100%,13.67,13.67,82,2,6.83,6.83,4.56,4.56
Esprit de la Faille,Spirit of the Rift,4,6,0.67,67%,20.0,13.33,80,2,10.0,6.67,6.67,4.44
Chasse au Gros,Big Worm Hunter,4,6,0.67,67%,19.5,13.0,78,3,6.5,4.33,4.88,3.25
Âme de Dragon Élémentaire,Elemental Dragon Soul,3,6,0.5,50%,25.0,12.5,75,1,25.0,12.5,12.5,6.25
Perce-Écailles,Scale Tearer,4,6,0.67,67%,16.25,10.83,65,3,5.42,3.61,4.06,2.71
L'Oeil du Héraut,Eye of the Void,5,6,0.83,83%,12.8,10.67,64,0,Gratuit,Gratuit,12.8,10.67
Masque du Baron,Baron' s Mask,3,6,0.5,50%,20.0,10.0,60,2,10.0,5.0,6.67,3.33
Protection Royale,Royal Protector,3,6,0.5,50%,17.0,8.5,51,1,17.0,8.5,8.5,4.25
Poigne d'Or,Golden Force,2,6,0.33,33%,23.0,7.67,46,1,23.0,7.67,11.5,3.83
Première Ligne,First Line,5,6,0.83,83%,8.0,6.67,40,0,Gratuit,Gratuit,8.0,6.67
Sceau Profanateur,Seal of Desecration,4,6,0.67,67%,10.0,6.67,40,2,5.0,3.33,3.33,2.22
Écailles Magiques,Magic Scales,2,6,0.33,33%,20.0,6.67,40,2,10.0,3.33,6.67,2.22
Frappes Éclair,Light Swords,3,6,0.5,50%,12.0,6.0,36,0,Gratuit,Gratuit,12.0,6.0
Folie Meurtrière,Killer Momentum,1,6,0.17,17%,30.0,5.0,30,0,Gratuit,Gratuit,30.0,5.0
Gardien Sous-terrain,Underworld Guardian,2,6,0.33,33%,15.0,5.0,30,1,15.0,5.0,7.5,2.5
