,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Griffes Sauvages,Wild Claw,22,22,1.0,100%,14.5,14.5,319,3,4.83,4.83,3.62,3.62
Totem Équivalent,Equivalent Totem,22,22,1.0,100%,14.36,14.36,316,2,7.18,7.18,4.79,4.79
Esprit de l'Écuyer,Spirit of the Squire,20,22,0.91,91%,13.95,12.68,279,3,4.65,4.23,3.49,3.17
Assistance Divine,Sacred Help,13,22,0.59,59%,20.0,11.82,260,2,10.0,5.91,6.67,3.94
Aveuglement,Incapacitor,22,22,1.0,100%,9.95,9.95,219,3,3.32,3.32,2.49,2.49
Tombeau Rocheux,Rock Tomb,19,22,0.86,86%,10.0,8.64,190,1,10.0,8.64,5.0,4.32
Faux,Scythe,22,22,1.0,100%,8.64,8.64,190,3,2.88,2.88,2.16,2.16
Être de Lumière,Being of Light,10,22,0.45,45%,18.0,8.18,180,1,18.0,8.18,9.0,4.09
Mental d'Acier,Steel Aura,10,22,0.45,45%,18.0,8.18,180,2,9.0,4.09,6.0,2.73
Chasseur de Bêtes,Beast Hunter,9,22,0.41,41%,18.0,7.36,162,2,9.0,3.68,6.0,2.45
Armure d'Obsidienne,Obsidian Battle Plate,8,22,0.36,36%,20.0,7.27,160,2,10.0,3.63,6.67,2.42
Pillard Féroce,Savage Looter,8,22,0.36,36%,20.0,7.27,160,1,20.0,7.27,10.0,3.63
Marteau Collecteur,Collecting Hammer,14,22,0.64,64%,11.21,7.14,157,2,5.61,3.57,3.74,2.38
Coup de Mort,Death Helper,13,22,0.59,59%,12.08,7.14,157,1,12.08,7.14,6.04,3.57
Décharge Élémentaire,Elemental Discharge,7,22,0.32,32%,18.0,5.73,126,1,18.0,5.73,9.0,2.87
Le Marionnettiste,The Puppeteer,6,22,0.27,27%,20.0,5.45,120,2,10.0,2.73,6.67,1.82
Bâton de Conquête,Conquering Staff,5,22,0.23,23%,24.0,5.45,120,2,12.0,2.73,8.0,1.82
Lame Affutée,Sharp Blade,17,22,0.77,77%,7.06,5.45,120,3,2.35,1.82,1.76,1.36
Marteleur précis,Precise Hammer,6,22,0.27,27%,18.0,4.91,108,1,18.0,4.91,9.0,2.46
Hache Frénétique,Berseker Ax,7,22,0.32,32%,14.0,4.45,98,2,7.0,2.23,4.67,1.48
Esprit omniprésent,Omnipresent Spirit,5,22,0.23,23%,18.0,4.09,90,2,9.0,2.04,6.0,1.36
Sabre Versatile,Versatil Saber,8,22,0.36,36%,11.0,4.0,88,1,11.0,4.0,5.5,2.0
Œil de Lynx,Hawk's Eye,9,22,0.41,41%,8.89,3.64,80,0,Gratuit,Gratuit,8.89,3.64
Esprit Sauvage,Wild Spirit,8,22,0.36,36%,10.0,3.64,80,0,Gratuit,Gratuit,10.0,3.64
Économe Sagesse du Trésorier,Treasurer's Wisdom,4,22,0.18,18%,17.0,3.09,68,2,8.5,1.54,5.67,1.03
Désintégrateur Magnétique,Magnetic Disintegrator,6,22,0.27,27%,11.0,3.0,66,0,Gratuit,Gratuit,11.0,3.0
Totem du Gardien,Guardian Totem,17,22,0.77,77%,3.41,2.64,58,3,1.14,0.88,0.85,0.66
Bâton du Conquérant,Staff of Conquered Worlds,5,22,0.23,23%,11.0,2.5,55,0,Gratuit,Gratuit,11.0,2.5
Armure d'Immortel,Immortal Breastplate,3,22,0.14,14%,15.33,2.09,46,1,15.33,2.09,7.67,1.04
Amulette Omnisciente,Omnipresent Amulet,3,22,0.14,14%,15.0,2.05,45,0,Gratuit,Gratuit,15.0,2.05
Soif de Sang,Thirsty Dagger,3,22,0.14,14%,15.0,2.05,45,0,Gratuit,Gratuit,15.0,2.05
Parchemin Secret,Secret Scroll,2,22,0.09,9%,18.0,1.64,36,2,9.0,0.82,6.0,0.55
Épée Obscure,Swords of Darkness,2,22,0.09,9%,17.0,1.55,34,1,17.0,1.55,8.5,0.78
Couronne du Roi Nain,Crown of the Dwarf King,2,22,0.09,9%,13.0,1.18,26,0,Gratuit,Gratuit,13.0,1.18
Danse Macabre,Dance of Death,3,22,0.14,14%,8.0,1.09,24,1,8.0,1.09,4.0,0.55
Enchaînement Éclair,Unstoppable Lightning,1,22,0.05,5%,18.0,0.82,18,1,18.0,0.82,9.0,0.41
Adrénaline Arcanique,Arcane Adrenaline,1,22,0.05,5%,16.0,0.73,16,1,16.0,0.73,8.0,0.36
Elan de Fureur,Rampage Momentum,1,22,0.05,5%,15.0,0.68,15,2,7.5,0.34,5.0,0.23
Force Divine,Divine Impetu,1,22,0.05,5%,15.0,0.68,15,0,Gratuit,Gratuit,15.0,0.68
Explosion Arcanique,Arcane Explosive,1,22,0.05,5%,12.0,0.55,12,1,12.0,0.55,6.0,0.28
Masse Colossale,Colossal Mace,1,22,0.05,5%,11.0,0.5,11,0,Gratuit,Gratuit,11.0,0.5
Épé Sainte,Holy Sword,1,22,0.05,5%,10.0,0.45,10,0,Gratuit,Gratuit,10.0,0.45
