,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Griffes Sauvages,Wild Claw,17,17,1.0,100%,16.35,16.35,278,3,5.45,5.45,4.09,4.09
Totem Équivalent,Equivalent Totem,17,17,1.0,100%,15.18,15.18,258,2,7.59,7.59,5.06,5.06
Pillard Féroce,Savage Looter,11,17,0.65,65%,20.0,12.94,220,1,20.0,12.94,10.0,6.47
Chasseur de Bêtes,Beast Hunter,12,17,0.71,71%,18.0,12.71,216,2,9.0,6.36,6.0,4.24
Esprit de l'Écuyer,Spirit of the Squire,16,17,0.94,94%,13.31,12.53,213,3,4.44,4.18,3.33,3.13
Aveuglement,Incapacitor,17,17,1.0,100%,11.47,11.47,195,3,3.82,3.82,2.87,2.87
Lame Affutée,Sharp Blade,16,17,0.94,94%,11.44,10.76,183,3,3.81,3.59,2.86,2.69
Armure d'Obsidienne,Obsidian Battle Plate,9,17,0.53,53%,20.0,10.59,180,2,10.0,5.29,6.67,3.53
Assistance Divine,Sacred Help,9,17,0.53,53%,20.0,10.59,180,2,10.0,5.29,6.67,3.53
Mental d'Acier,Steel Aura,9,17,0.53,53%,18.0,9.53,162,2,9.0,4.76,6.0,3.18
Faux,Scythe,17,17,1.0,100%,9.53,9.53,162,3,3.18,3.18,2.38,2.38
Tombeau Rocheux,Rock Tomb,16,17,0.94,94%,10.0,9.41,160,1,10.0,9.41,5.0,4.71
Coup de Mort,Death Helper,10,17,0.59,59%,11.5,6.76,115,1,11.5,6.76,5.75,3.38
Esprit Sauvage,Wild Spirit,11,17,0.65,65%,10.0,6.47,110,0,Gratuit,Gratuit,10.0,6.47
Marteau Collecteur,Collecting Hammer,9,17,0.53,53%,12.0,6.35,108,2,6.0,3.17,4.0,2.12
Décharge Élémentaire,Elemental Discharge,6,17,0.35,35%,18.0,6.35,108,1,18.0,6.35,9.0,3.17
Bâton de Conquête,Conquering Staff,4,17,0.24,24%,24.0,5.65,96,2,12.0,2.83,8.0,1.88
Être de Lumière,Being of Light,5,17,0.29,29%,18.0,5.29,90,1,18.0,5.29,9.0,2.65
Économe Sagesse du Trésorier,Treasurer's Wisdom,5,17,0.29,29%,17.0,5.0,85,2,8.5,2.5,5.67,1.67
Danse Macabre,Dance of Death,10,17,0.59,59%,8.0,4.71,80,1,8.0,4.71,4.0,2.35
Sabre Versatile,Versatil Saber,7,17,0.41,41%,11.0,4.53,77,1,11.0,4.53,5.5,2.27
Elan de Fureur,Rampage Momentum,5,17,0.29,29%,15.0,4.41,75,2,7.5,2.21,5.0,1.47
Hache Frénétique,Berseker Ax,5,17,0.29,29%,14.0,4.12,70,2,7.0,2.06,4.67,1.37
Enchaînement Éclair,Unstoppable Lightning,3,17,0.18,18%,18.0,3.18,54,1,18.0,3.18,9.0,1.59
Esprit omniprésent,Omnipresent Spirit,3,17,0.18,18%,18.0,3.18,54,2,9.0,1.59,6.0,1.06
Œil de Lynx,Hawk's Eye,6,17,0.35,35%,9.0,3.18,54,0,Gratuit,Gratuit,9.0,3.18
Totem du Gardien,Guardian Totem,12,17,0.71,71%,4.42,3.12,53,3,1.47,1.04,1.1,0.78
Épée Obscure,Swords of Darkness,3,17,0.18,18%,17.0,3.0,51,1,17.0,3.0,8.5,1.5
Ascension Divine,Divine Ascent,2,17,0.12,12%,25.0,2.94,50,3,8.33,0.98,6.25,0.73
Force Divine,Divine Impetu,4,17,0.24,24%,12.0,2.82,48,0,Gratuit,Gratuit,12.0,2.82
Soif de Sang,Thirsty Dagger,3,17,0.18,18%,15.0,2.65,45,0,Gratuit,Gratuit,15.0,2.65
Désintégrateur Magnétique,Magnetic Disintegrator,4,17,0.24,24%,11.0,2.59,44,0,Gratuit,Gratuit,11.0,2.59
Le Marionnettiste,The Puppeteer,2,17,0.12,12%,20.0,2.35,40,2,10.0,1.18,6.67,0.78
Adrénaline Arcanique,Arcane Adrenaline,2,17,0.12,12%,16.0,1.88,32,1,16.0,1.88,8.0,0.94
Masse de Siège,Siege Mace,2,17,0.12,12%,16.0,1.88,32,0,Gratuit,Gratuit,16.0,1.88
Armure d'Immortel,Immortal Breastplate,2,17,0.12,12%,15.0,1.76,30,1,15.0,1.76,7.5,0.88
Le Traqueur,The Stalker,1,17,0.06,6%,20.0,1.18,20,3,6.67,0.39,5.0,0.29
Marteleur précis,Precise Hammer,1,17,0.06,6%,18.0,1.06,18,1,18.0,1.06,9.0,0.53
Parchemin Secret,Secret Scroll,1,17,0.06,6%,18.0,1.06,18,2,9.0,0.53,6.0,0.35
Chasseur d'Âmes,Soul Hunter,1,17,0.06,6%,15.0,0.88,15,1,15.0,0.88,7.5,0.44
Bâton du Conquérant,Staff of Conquered Worlds,1,17,0.06,6%,11.0,0.65,11,0,Gratuit,Gratuit,11.0,0.65
Épé Sainte,Holy Sword,1,17,0.06,6%,10.0,0.59,10,0,Gratuit,Gratuit,10.0,0.59
