,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Assistance Divine,Sacred Help,14,16,0.88,88%,20.0,17.5,280,2,10.0,8.75,6.67,5.83
Griffes Sauvages,Wild Claw,16,16,1.0,100%,14.62,14.62,234,3,4.87,4.87,3.65,3.65
Totem Équivalent,Equivalent Totem,16,16,1.0,100%,14.31,14.31,229,3,4.77,4.77,3.58,3.58
Aveuglement,Incapacitor,16,16,1.0,100%,10.88,10.88,174,3,3.63,3.63,2.72,2.72
Esprit de l'Écuyer,Spirit of the Squire,13,16,0.81,81%,11.31,9.19,147,3,3.77,3.06,2.83,2.3
Faux,Scythe,16,16,1.0,100%,8.5,8.5,136,3,2.83,2.83,2.12,2.12
Pillard Féroce,Savage Looter,6,16,0.38,38%,20.0,7.5,120,1,20.0,7.5,10.0,3.75
Bâton de Conquête,Conquering Staff,5,16,0.31,31%,24.0,7.5,120,2,12.0,3.75,8.0,2.5
Être de Lumière,Being of Light,6,16,0.38,38%,20.0,7.5,120,1,20.0,7.5,10.0,3.75
Chasseur de Bêtes,Beast Hunter,6,16,0.38,38%,18.0,6.75,108,2,9.0,3.38,6.0,2.25
Coup de Mort,Death Helper,7,16,0.44,44%,13.0,5.69,91,1,13.0,5.69,6.5,2.85
Lame Affutée,Sharp Blade,11,16,0.69,69%,7.36,5.06,81,3,2.45,1.69,1.84,1.26
Armure d'Obsidienne,Obsidian Battle Plate,4,16,0.25,25%,20.0,5.0,80,2,10.0,2.5,6.67,1.67
Marteau Collecteur,Collecting Hammer,7,16,0.44,44%,11.0,4.81,77,2,5.5,2.4,3.67,1.6
Marteleur précis,Precise Hammer,4,16,0.25,25%,18.0,4.5,72,1,18.0,4.5,9.0,2.25
Mental d'Acier,Steel Aura,4,16,0.25,25%,18.0,4.5,72,2,9.0,2.25,6.0,1.5
Décharge Élémentaire,Elemental Discharge,3,16,0.19,19%,20.0,3.75,60,1,20.0,3.75,10.0,1.88
Totem du Gardien,Guardian Totem,16,16,1.0,100%,3.06,3.06,49,3,1.02,1.02,0.77,0.77
Œil de Lynx,Hawk's Eye,6,16,0.38,38%,8.0,3.0,48,0,Gratuit,Gratuit,8.0,3.0
Esprit Sauvage,Wild Spirit,6,16,0.38,38%,8.0,3.0,48,0,Gratuit,Gratuit,8.0,3.0
Soif de Sang,Thirsty Dagger,3,16,0.19,19%,15.0,2.81,45,0,Gratuit,Gratuit,15.0,2.81
Danse Macabre,Dance of Death,4,16,0.25,25%,10.0,2.5,40,1,10.0,2.5,5.0,1.25
Esprit omniprésent,Omnipresent Spirit,2,16,0.12,12%,18.0,2.25,36,2,9.0,1.12,6.0,0.75
Sabre Versatile,Versatil Saber,2,16,0.12,12%,18.0,2.25,36,1,18.0,2.25,9.0,1.12
Enchaînement Éclair,Unstoppable Lightning,1,16,0.06,6%,22.0,1.38,22,2,11.0,0.69,7.33,0.46
Le Marionnettiste,The Puppeteer,1,16,0.06,6%,20.0,1.25,20,2,10.0,0.62,6.67,0.42
Elan de Fureur,Rampage Momentum,1,16,0.06,6%,15.0,0.94,15,1,15.0,0.94,7.5,0.47
Bâton du Conquérant,Staff of Conquered Worlds,1,16,0.06,6%,15.0,0.94,15,0,Gratuit,Gratuit,15.0,0.94
