,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,15,15,1.0,100%,16.93,16.93,254,2,8.46,8.46,5.64,5.64
Faux,Scythe,15,15,1.0,100%,16.6,16.6,249,3,5.53,5.53,4.15,4.15
Armure d'Obsidienne,Obsidian Battle Plate,11,15,0.73,73%,20.0,14.67,220,2,10.0,7.33,6.67,4.89
Faux Parfaite,Perfect Scythe,12,15,0.8,80%,15.0,12.0,180,0,Gratuit,Gratuit,15.0,12.0
Gantelet Impérieux,Imperious Gauntlet,6,15,0.4,40%,30.0,12.0,180,1,30.0,12.0,15.0,6.0
Économe Sagesse du Trésorier,Treasurer's Wisdom,9,15,0.6,60%,17.0,10.2,153,2,8.5,5.1,5.67,3.4
Lame Insatiable,Fast Furious Blade,9,15,0.6,60%,16.0,9.6,144,2,8.0,4.8,5.33,3.2
Lame Affutée,Sharp Blade,15,15,1.0,100%,9.6,9.6,144,3,3.2,3.2,2.4,2.4
Hache Frénétique,Berseker Ax,8,15,0.53,53%,14.0,7.47,112,2,7.0,3.73,4.67,2.49
Épée Obscure,Swords of Darkness,6,15,0.4,40%,17.0,6.8,102,1,17.0,6.8,8.5,3.4
Ascension Divine,Divine Ascent,4,15,0.27,27%,25.0,6.67,100,3,8.33,2.22,6.25,1.67
Chasseresse d'Âmes,Huntress of Souls,5,15,0.33,33%,19.0,6.33,95,1,19.0,6.33,9.5,3.17
Aveuglement,Incapacitor,13,15,0.87,87%,6.69,5.8,87,3,2.23,1.93,1.67,1.45
Griffes Démoniaques,Demon Claws,5,15,0.33,33%,17.0,5.67,85,1,17.0,5.67,8.5,2.83
Esprit de l'Écuyer,Spirit of the Squire,13,15,0.87,87%,6.46,5.6,84,3,2.15,1.87,1.61,1.4
Adrénaline Arcanique,Arcane Adrenaline,5,15,0.33,33%,16.0,5.33,80,1,16.0,5.33,8.0,2.67
Faux Assoiffées,Thirsty Scythes,3,15,0.2,20%,25.0,5.0,75,3,8.33,1.67,6.25,1.25
Armure d'Immortel,Immortal Breastplate,5,15,0.33,33%,14.8,4.93,74,1,14.8,4.93,7.4,2.46
Parchemin Secret,Secret Scroll,4,15,0.27,27%,18.0,4.8,72,2,9.0,2.4,6.0,1.6
Sabre Versatile,Versatil Saber,6,15,0.4,40%,11.0,4.4,66,1,11.0,4.4,5.5,2.2
Elan de Fureur,Rampage Momentum,4,15,0.27,27%,15.0,4.0,60,2,7.5,2.0,5.0,1.33
Assistance Divine,Sacred Help,3,15,0.2,20%,20.0,4.0,60,2,10.0,2.0,6.67,1.33
Explosion Arcanique,Arcane Explosive,5,15,0.33,33%,12.0,4.0,60,1,12.0,4.0,6.0,2.0
Enchaînement Éclair,Unstoppable Lightning,3,15,0.2,20%,18.0,3.6,54,1,18.0,3.6,9.0,1.8
Chasseur d'Âmes,Soul Hunter,3,15,0.2,20%,16.67,3.33,50,1,16.67,3.33,8.34,1.67
Soif de Sang,Thirsty Dagger,3,15,0.2,20%,15.0,3.0,45,0,Gratuit,Gratuit,15.0,3.0
Totem du Gardien,Guardian Totem,11,15,0.73,73%,4.09,3.0,45,3,1.36,1.0,1.02,0.75
Force Divine,Divine Impetu,3,15,0.2,20%,13.67,2.73,41,0,Gratuit,Gratuit,13.67,2.73
Danse Macabre,Dance of Death,5,15,0.33,33%,8.0,2.67,40,1,8.0,2.67,4.0,1.33
Couronne du Roi Nain,Crown of the Dwarf King,3,15,0.2,20%,13.0,2.6,39,0,Gratuit,Gratuit,13.0,2.6
Triple Météore,Trimeteor,1,15,0.07,7%,30.0,2.0,30,0,Gratuit,Gratuit,30.0,2.0
Marteau Collecteur,Collecting Hammer,4,15,0.27,27%,6.75,1.8,27,2,3.38,0.9,2.25,0.6
Bâton de Conquête,Conquering Staff,1,15,0.07,7%,24.0,1.6,24,2,12.0,0.8,8.0,0.53
Coup de Mort,Death Helper,2,15,0.13,13%,11.5,1.53,23,1,11.5,1.53,5.75,0.77
Épé Sainte,Holy Sword,2,15,0.13,13%,10.0,1.33,20,0,Gratuit,Gratuit,10.0,1.33
Pillard Féroce,Savage Looter,1,15,0.07,7%,20.0,1.33,20,1,20.0,1.33,10.0,0.67
Tombeau Rocheux,Rock Tomb,2,15,0.13,13%,10.0,1.33,20,1,10.0,1.33,5.0,0.67
Être de Lumière,Being of Light,1,15,0.07,7%,18.0,1.2,18,1,18.0,1.2,9.0,0.6
Mental d'Acier,Steel Aura,1,15,0.07,7%,18.0,1.2,18,2,9.0,0.6,6.0,0.4
Esprit omniprésent,Omnipresent Spirit,1,15,0.07,7%,18.0,1.2,18,2,9.0,0.6,6.0,0.4
Marteleur précis,Precise Hammer,1,15,0.07,7%,18.0,1.2,18,1,18.0,1.2,9.0,0.6
Œil de Lynx,Hawk's Eye,2,15,0.13,13%,8.0,1.07,16,0,Gratuit,Gratuit,8.0,1.07
Masse Colossale,Colossal Mace,1,15,0.07,7%,15.0,1.0,15,0,Gratuit,Gratuit,15.0,1.0
Amulette Omnisciente,Omnipresent Amulet,1,15,0.07,7%,15.0,1.0,15,0,Gratuit,Gratuit,15.0,1.0
Désintégrateur Magnétique,Magnetic Disintegrator,1,15,0.07,7%,11.0,0.73,11,0,Gratuit,Gratuit,11.0,0.73
Griffes Sauvages,Wild Claw,5,15,0.33,33%,1.4,0.47,7,3,0.47,0.16,0.35,0.12
