,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,202,202,1.0,100%,16.77,16.77,3388,2,8.38,8.38,5.59,5.59
Faux,Scythe,202,202,1.0,100%,15.71,15.71,3173,3,5.24,5.24,3.93,3.93
Lame Affutée,Sharp Blade,188,202,0.93,93%,12.34,11.48,2319,3,4.11,3.83,3.08,2.87
Économe Sagesse du Trésorier,Treasurer's Wisdom,125,202,0.62,62%,17.0,10.52,2125,2,8.5,5.26,5.67,3.51
Armure d'Obsidienne,Obsidian Battle Plate,104,202,0.51,51%,20.0,10.3,2080,2,10.0,5.15,6.67,3.43
Ascension Divine,Divine Ascent,79,202,0.39,39%,25.0,9.78,1975,3,8.33,3.26,6.25,2.44
Hache Frénétique,Berseker Ax,141,202,0.7,70%,14.0,9.77,1974,2,7.0,4.88,4.67,3.26
Faux Parfaite,Perfect Scythe,131,202,0.65,65%,15.0,9.73,1965,0,Gratuit,Gratuit,15.0,9.73
Gantelet Impérieux,Imperious Gauntlet,62,202,0.31,31%,30.0,9.21,1860,1,30.0,9.21,15.0,4.61
Esprit de l'Écuyer,Spirit of the Squire,178,202,0.88,88%,8.68,7.65,1545,3,2.89,2.55,2.17,1.91
Lame Insatiable,Fast Furious Blade,84,202,0.42,42%,16.0,6.65,1344,2,8.0,3.33,5.33,2.22
Faux Assoiffées,Thirsty Scythes,52,202,0.26,26%,25.0,6.44,1300,3,8.33,2.15,6.25,1.61
Adrénaline Arcanique,Arcane Adrenaline,80,202,0.4,40%,16.0,6.34,1280,1,16.0,6.34,8.0,3.17
Épée Obscure,Swords of Darkness,72,202,0.36,36%,17.0,6.06,1224,1,17.0,6.06,8.5,3.03
Aveuglement,Incapacitor,177,202,0.88,88%,6.03,5.29,1068,3,2.01,1.76,1.51,1.32
Elan de Fureur,Rampage Momentum,66,202,0.33,33%,15.0,4.9,990,2,7.5,2.45,5.0,1.63
