,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,15,15,1.0,100%,13.07,13.07,196,2,6.54,6.54,4.36,4.36
Totem du Gardien,Guardian Totem,11,15,0.73,73%,17.73,13.0,195,3,5.91,4.33,4.43,3.25
Aveuglement,Incapacitor,15,15,1.0,100%,12.4,12.4,186,3,4.13,4.13,3.1,3.1
Esprit de l'Écuyer,Spirit of the Squire,15,15,1.0,100%,12.4,12.4,186,3,4.13,4.13,3.1,3.1
Vision Céleste,Heavenly Vision,8,15,0.53,53%,22.0,11.73,176,2,11.0,5.87,7.33,3.91
Le Traqueur,The Stalker,10,15,0.67,67%,17.2,11.47,172,3,5.73,3.82,4.3,2.87
Bâton de Conquête,Conquering Staff,6,15,0.4,40%,24.0,9.6,144,2,12.0,4.8,8.0,3.2
Armure d'Obsidienne,Obsidian Battle Plate,7,15,0.47,47%,20.0,9.33,140,2,10.0,4.67,6.67,3.11
Œil de Lynx,Hawk's Eye,14,15,0.93,93%,8.86,8.27,124,0,Gratuit,Gratuit,8.86,8.27
Coup de Mort,Death Helper,9,15,0.6,60%,12.0,7.2,108,1,12.0,7.2,6.0,3.6
Le Visionnaire,The Visionary,6,15,0.4,40%,18.0,7.2,108,2,9.0,3.6,6.0,2.4
Amulette Omnisciente,Omnipresent Amulet,6,15,0.4,40%,14.33,5.73,86,0,Gratuit,Gratuit,14.33,5.73
Le Marionnettiste,The Puppeteer,4,15,0.27,27%,20.0,5.33,80,2,10.0,2.67,6.67,1.78
Esprit omniprésent,Omnipresent Spirit,4,15,0.27,27%,18.0,4.8,72,2,9.0,2.4,6.0,1.6
Sabre Versatile,Versatil Saber,6,15,0.4,40%,11.0,4.4,66,1,11.0,4.4,5.5,2.2
Assistance Divine,Sacred Help,3,15,0.2,20%,20.0,4.0,60,2,10.0,2.0,6.67,1.33
Lame Affutée,Sharp Blade,9,15,0.6,60%,6.33,3.8,57,3,2.11,1.27,1.58,0.95
Être de Lumière,Being of Light,3,15,0.2,20%,18.0,3.6,54,1,18.0,3.6,9.0,1.8
Bâton du Conquérant,Staff of Conquered Worlds,4,15,0.27,27%,11.0,2.93,44,0,Gratuit,Gratuit,11.0,2.93
Marteau Collecteur,Collecting Hammer,4,15,0.27,27%,9.25,2.47,37,2,4.62,1.24,3.08,0.82
Force Divine,Divine Impetu,2,15,0.13,13%,15.0,2.0,30,0,Gratuit,Gratuit,15.0,2.0
Chasseur d'Âmes,Soul Hunter,1,15,0.07,7%,20.0,1.33,20,1,20.0,1.33,10.0,0.67
Faux,Scythe,12,15,0.8,80%,1.67,1.33,20,3,0.56,0.44,0.42,0.33
Épée Obscure,Swords of Darkness,1,15,0.07,7%,17.0,1.13,17,1,17.0,1.13,8.5,0.56
Armure d'Immortel,Immortal Breastplate,1,15,0.07,7%,16.0,1.07,16,1,16.0,1.07,8.0,0.54
Masse de Siège,Siege Mace,1,15,0.07,7%,16.0,1.07,16,0,Gratuit,Gratuit,16.0,1.07
Hache Frénétique,Berseker Ax,1,15,0.07,7%,14.0,0.93,14,2,7.0,0.47,4.67,0.31
Danse Macabre,Dance of Death,1,15,0.07,7%,8.0,0.53,8,1,8.0,0.53,4.0,0.27
