,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,17,17,1.0,100%,11.94,11.94,203,2,5.97,5.97,3.98,3.98
Aveuglement,Incapacitor,17,17,1.0,100%,10.76,10.76,183,3,3.59,3.59,2.69,2.69
Totem du Gardien,Guardian Totem,12,17,0.71,71%,14.17,10.0,170,3,4.72,3.33,3.54,2.5
Esprit de l'Écuyer,Spirit of the Squire,15,17,0.88,88%,10.6,9.35,159,3,3.53,3.12,2.65,2.34
Œil de Lynx,Hawk's Eye,17,17,1.0,100%,9.06,9.06,154,0,Gratuit,Gratuit,9.06,9.06
Marteau Collecteur,Collecting Hammer,9,17,0.53,53%,13.89,7.35,125,2,6.95,3.67,4.63,2.45
Le Traqueur,The Stalker,7,17,0.41,41%,17.71,7.29,124,3,5.9,2.43,4.43,1.82
Le Marionnettiste,The Puppeteer,6,17,0.35,35%,20.0,7.06,120,2,10.0,3.53,6.67,2.35
Le Visionnaire,The Visionary,6,17,0.35,35%,18.0,6.35,108,2,9.0,3.17,6.0,2.12
Bâton de Conquête,Conquering Staff,4,17,0.24,24%,24.0,5.65,96,2,12.0,2.83,8.0,1.88
Esprit omniprésent,Omnipresent Spirit,5,17,0.29,29%,18.0,5.29,90,2,9.0,2.65,6.0,1.76
Vision Céleste,Heavenly Vision,4,17,0.24,24%,22.0,5.18,88,2,11.0,2.59,7.33,1.73
Armure d'Obsidienne,Obsidian Battle Plate,4,17,0.24,24%,20.0,4.71,80,2,10.0,2.35,6.67,1.57
Amulette Omnisciente,Omnipresent Amulet,4,17,0.24,24%,14.0,3.29,56,0,Gratuit,Gratuit,14.0,3.29
Coup de Mort,Death Helper,5,17,0.29,29%,11.2,3.29,56,1,11.2,3.29,5.6,1.65
Bâton du Conquérant,Staff of Conquered Worlds,4,17,0.24,24%,11.0,2.59,44,0,Gratuit,Gratuit,11.0,2.59
Lame Affutée,Sharp Blade,12,17,0.71,71%,3.5,2.47,42,3,1.17,0.82,0.88,0.62
Masse de Siège,Siege Mace,2,17,0.12,12%,16.0,1.88,32,0,Gratuit,Gratuit,16.0,1.88
Sabre Versatile,Versatil Saber,2,17,0.12,12%,11.0,1.29,22,1,11.0,1.29,5.5,0.65
Assistance Divine,Sacred Help,1,17,0.06,6%,20.0,1.18,20,2,10.0,0.59,6.67,0.39
Faux,Scythe,15,17,0.88,88%,1.27,1.12,19,3,0.42,0.37,0.32,0.28
Être de Lumière,Being of Light,1,17,0.06,6%,18.0,1.06,18,1,18.0,1.06,9.0,0.53
Marteleur précis,Precise Hammer,1,17,0.06,6%,18.0,1.06,18,1,18.0,1.06,9.0,0.53
Soif de Sang,Thirsty Dagger,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit,15.0,0.88
Force Divine,Divine Impetu,1,17,0.06,6%,15.0,0.88,15,0,Gratuit,Gratuit,15.0,0.88
Armure d'Immortel,Immortal Breastplate,1,17,0.06,6%,14.0,0.82,14,1,14.0,0.82,7.0,0.41
Hache Frénétique,Berseker Ax,1,17,0.06,6%,14.0,0.82,14,2,7.0,0.41,4.67,0.27
