,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Vision Céleste,Heavenly Vision,15,18,0.83,83%,22.0,18.33,330,2,11.0,9.16,7.33,6.11
Bâton de Conquête,Conquering Staff,13,18,0.72,72%,24.0,17.33,312,2,12.0,8.66,8.0,5.78
Aveuglement,Incapacitor,18,18,1.0,100%,16.33,16.33,294,3,5.44,5.44,4.08,4.08
Esprit de l'Écuyer,Spirit of the Squire,16,18,0.89,89%,18.0,16.0,288,3,6.0,5.33,4.5,4.0
Totem Équivalent,Equivalent Totem,18,18,1.0,100%,12.83,12.83,231,2,6.42,6.42,4.28,4.28
Totem du Gardien,Guardian Totem,13,18,0.72,72%,17.69,12.78,230,3,5.9,4.26,4.42,3.19
Armure d'Obsidienne,Obsidian Battle Plate,11,18,0.61,61%,20.0,12.22,220,2,10.0,6.11,6.67,4.07
Le Traqueur,The Stalker,12,18,0.67,67%,17.67,11.78,212,3,5.89,3.93,4.42,2.94
Le Visionnaire,The Visionary,10,18,0.56,56%,18.0,10.0,180,2,9.0,5.0,6.0,3.33
Œil de Lynx,Hawk's Eye,18,18,1.0,100%,9.11,9.11,164,0,Gratuit,Gratuit,9.11,9.11
Coup de Mort,Death Helper,13,18,0.72,72%,11.62,8.39,151,1,11.62,8.39,5.81,4.2
Esprit omniprésent,Omnipresent Spirit,8,18,0.44,44%,18.0,8.0,144,2,9.0,4.0,6.0,2.67
Amulette Omnisciente,Omnipresent Amulet,10,18,0.56,56%,13.0,7.22,130,0,Gratuit,Gratuit,13.0,7.22
Sabre Versatile,Versatil Saber,10,18,0.56,56%,11.0,6.11,110,1,11.0,6.11,5.5,3.06
Bâton du Conquérant,Staff of Conquered Worlds,8,18,0.44,44%,11.0,4.89,88,0,Gratuit,Gratuit,11.0,4.89
Force Divine,Divine Impetu,5,18,0.28,28%,13.4,3.72,67,0,Gratuit,Gratuit,13.4,3.72
Assistance Divine,Sacred Help,3,18,0.17,17%,20.0,3.33,60,2,10.0,1.67,6.67,1.11
Lame Affutée,Sharp Blade,12,18,0.67,67%,4.25,2.83,51,3,1.42,0.94,1.06,0.71
Armure d'Immortel,Immortal Breastplate,3,18,0.17,17%,15.33,2.56,46,1,15.33,2.56,7.67,1.28
Marteau Collecteur,Collecting Hammer,5,18,0.28,28%,8.2,2.28,41,2,4.1,1.14,2.73,0.76
Soif de Sang,Thirsty Dagger,2,18,0.11,11%,15.0,1.67,30,0,Gratuit,Gratuit,15.0,1.67
Faux,Scythe,17,18,0.94,94%,1.24,1.17,21,3,0.41,0.39,0.31,0.29
Être de Lumière,Being of Light,1,18,0.06,6%,18.0,1.0,18,1,18.0,1.0,9.0,0.5
Marteleur précis,Precise Hammer,1,18,0.06,6%,18.0,1.0,18,1,18.0,1.0,9.0,0.5
Masse de Siège,Siege Mace,1,18,0.06,6%,16.0,0.89,16,0,Gratuit,Gratuit,16.0,0.89
Chasseur d'Âmes,Soul Hunter,1,18,0.06,6%,15.0,0.83,15,1,15.0,0.83,7.5,0.41
Hache Frénétique,Berseker Ax,1,18,0.06,6%,14.0,0.78,14,2,7.0,0.39,4.67,0.26
Désintégrateur Magnétique,Magnetic Disintegrator,1,18,0.06,6%,11.0,0.61,11,0,Gratuit,Gratuit,11.0,0.61
Danse Macabre,Dance of Death,1,18,0.06,6%,8.0,0.44,8,1,8.0,0.44,4.0,0.22
