,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Le Traqueur,The Stalker,6,6,1.0,100%,16.0,16.0,96,3,5.33,5.33,4.0,4.0
Totem du Gardien,Guardian Totem,6,6,1.0,100%,15.33,15.33,92,3,5.11,5.11,3.83,3.83
Vision Céleste,Heavenly Vision,4,6,0.67,67%,22.0,14.67,88,2,11.0,7.33,7.33,4.89
Armure d'Obsidienne,Obsidian Battle Plate,4,6,0.67,67%,20.0,13.33,80,2,10.0,6.67,6.67,4.44
Totem Équivalent,Equivalent Totem,6,6,1.0,100%,12.83,12.83,77,2,6.42,6.42,4.28,4.28
Esprit de l'Écuyer,Spirit of the Squire,6,6,1.0,100%,10.5,10.5,63,3,3.5,3.5,2.62,2.62
Aveuglement,Incapacitor,6,6,1.0,100%,10.0,10.0,60,3,3.33,3.33,2.5,2.5
Le Visionnaire,The Visionary,3,6,0.5,50%,18.0,9.0,54,2,9.0,4.5,6.0,3.0
Bâton de Conquête,Conquering Staff,2,6,0.33,33%,24.0,8.0,48,2,12.0,4.0,8.0,2.67
Œil de Lynx,Hawk's Eye,6,6,1.0,100%,8.0,8.0,48,0,Gratuit,Gratuit,8.0,8.0
Coup de Mort,Death Helper,4,6,0.67,67%,10.0,6.67,40,1,10.0,6.67,5.0,3.33
Assistance Divine,Sacred Help,2,6,0.33,33%,20.0,6.67,40,2,10.0,3.33,6.67,2.22
Esprit omniprésent,Omnipresent Spirit,2,6,0.33,33%,18.0,6.0,36,2,9.0,3.0,6.0,2.0
Être de Lumière,Being of Light,2,6,0.33,33%,18.0,6.0,36,1,18.0,6.0,9.0,3.0
Sabre Versatile,Versatil Saber,3,6,0.5,50%,11.0,5.5,33,1,11.0,5.5,5.5,2.75
Armure d'Immortel,Immortal Breastplate,2,6,0.33,33%,14.0,4.67,28,1,14.0,4.67,7.0,2.33
Marteau Collecteur,Collecting Hammer,3,6,0.5,50%,8.0,4.0,24,2,4.0,2.0,2.67,1.33
Amulette Omnisciente,Omnipresent Amulet,2,6,0.33,33%,11.0,3.67,22,0,Gratuit,Gratuit,11.0,3.67
Marteleur précis,Precise Hammer,1,6,0.17,17%,18.0,3.0,18,1,18.0,3.0,9.0,1.5
Force Divine,Divine Impetu,1,6,0.17,17%,11.0,1.83,11,0,Gratuit,Gratuit,11.0,1.83
Bâton du Conquérant,Staff of Conquered Worlds,1,6,0.17,17%,11.0,1.83,11,0,Gratuit,Gratuit,11.0,1.83
Faux,Scythe,4,6,0.67,67%,1.75,1.17,7,3,0.58,0.39,0.44,0.29
Lame Affutée,Sharp Blade,1,6,0.17,17%,3.0,0.5,3,3,1.0,0.17,0.75,0.12
