,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Vision Céleste,Heavenly Vision,11,16,0.69,69%,22.0,15.12,242,2,11.0,7.56,7.33,5.04
Aveuglement,Incapacitor,16,16,1.0,100%,14.62,14.62,234,3,4.87,4.87,3.65,3.65
Totem du Gardien,Guardian Totem,11,16,0.69,69%,19.0,13.06,209,3,6.33,4.35,4.75,3.27
Totem Équivalent,Equivalent Totem,16,16,1.0,100%,12.62,12.62,202,2,6.31,6.31,4.21,4.21
Armure d'Obsidienne,Obsidian Battle Plate,10,16,0.62,62%,20.0,12.5,200,2,10.0,6.25,6.67,4.17
Le Traqueur,The Stalker,10,16,0.62,62%,17.2,10.75,172,3,5.73,3.58,4.3,2.69
Esprit de l'Écuyer,Spirit of the Squire,16,16,1.0,100%,9.94,9.94,159,3,3.31,3.31,2.48,2.48
Œil de Lynx,Hawk's Eye,16,16,1.0,100%,9.0,9.0,144,0,Gratuit,Gratuit,9.0,9.0
Bâton de Conquête,Conquering Staff,6,16,0.38,38%,24.0,9.0,144,2,12.0,4.5,8.0,3.0
Le Visionnaire,The Visionary,8,16,0.5,50%,18.0,9.0,144,2,9.0,4.5,6.0,3.0
Coup de Mort,Death Helper,9,16,0.56,56%,11.67,6.56,105,1,11.67,6.56,5.83,3.28
Armure d'Immortel,Immortal Breastplate,5,16,0.31,31%,14.8,4.62,74,1,14.8,4.62,7.4,2.31
Le Marionnettiste,The Puppeteer,3,16,0.19,19%,20.0,3.75,60,2,10.0,1.88,6.67,1.25
Soif de Sang,Thirsty Dagger,3,16,0.19,19%,15.0,2.81,45,0,Gratuit,Gratuit,15.0,2.81
Lame Affutée,Sharp Blade,8,16,0.5,50%,5.62,2.81,45,3,1.87,0.94,1.41,0.7
Bâton du Conquérant,Staff of Conquered Worlds,4,16,0.25,25%,11.0,2.75,44,0,Gratuit,Gratuit,11.0,2.75
Sabre Versatile,Versatil Saber,4,16,0.25,25%,11.0,2.75,44,1,11.0,2.75,5.5,1.38
Assistance Divine,Sacred Help,2,16,0.12,12%,20.0,2.5,40,2,10.0,1.25,6.67,0.83
Amulette Omnisciente,Omnipresent Amulet,3,16,0.19,19%,12.33,2.31,37,0,Gratuit,Gratuit,12.33,2.31
Être de Lumière,Being of Light,2,16,0.12,12%,18.0,2.25,36,1,18.0,2.25,9.0,1.12
Esprit omniprésent,Omnipresent Spirit,2,16,0.12,12%,18.0,2.25,36,2,9.0,1.12,6.0,0.75
Épée Obscure,Swords of Darkness,2,16,0.12,12%,17.0,2.12,34,1,17.0,2.12,8.5,1.06
Faux,Scythe,14,16,0.88,88%,1.71,1.5,24,3,0.57,0.5,0.43,0.38
Désintégrateur Magnétique,Magnetic Disintegrator,2,16,0.12,12%,11.0,1.38,22,0,Gratuit,Gratuit,11.0,1.38
Marteau Collecteur,Collecting Hammer,3,16,0.19,19%,6.33,1.19,19,2,3.17,0.59,2.11,0.4
Enchaînement Éclair,Unstoppable Lightning,1,16,0.06,6%,18.0,1.12,18,1,18.0,1.12,9.0,0.56
Masse de Siège,Siege Mace,1,16,0.06,6%,16.0,1.0,16,0,Gratuit,Gratuit,16.0,1.0
Elan de Fureur,Rampage Momentum,1,16,0.06,6%,15.0,0.94,15,2,7.5,0.47,5.0,0.31
Force Divine,Divine Impetu,1,16,0.06,6%,15.0,0.94,15,0,Gratuit,Gratuit,15.0,0.94
Épé Sainte,Holy Sword,1,16,0.06,6%,10.0,0.62,10,0,Gratuit,Gratuit,10.0,0.62
Danse Macabre,Dance of Death,1,16,0.06,6%,8.0,0.5,8,1,8.0,0.5,4.0,0.25
