,Nom Anglais,nb games valide,total games,ratio,%,pts moy,pts moy total,total point,cout,pts par cout moy,pts par cout total,pts par cout moy+1,pts par cout total+1
Totem Équivalent,Equivalent Totem,32,32,1.0,100%,16.53,16.53,529,2,8.27,8.27,5.51,5.51
Faux,Scythe,32,32,1.0,100%,14.22,14.22,455,3,4.74,4.74,3.56,3.56
Armure d'Obsidienne,Obsidian Battle Plate,18,32,0.56,56%,20.0,11.25,360,2,10.0,5.62,6.67,3.75
Ascension Divine,Divine Ascent,12,32,0.38,38%,25.0,9.38,300,3,8.33,3.13,6.25,2.35
Faux Parfaite,Perfect Scythe,18,32,0.56,56%,15.0,8.44,270,0,Gratuit,Gratuit,15.0,8.44
Hache Frénétique,Berseker Ax,19,32,0.59,59%,14.0,8.31,266,2,7.0,4.16,4.67,2.77
Économe Sagesse du Trésorier,Treasurer's Wisdom,13,32,0.41,41%,17.0,6.91,221,2,8.5,3.46,5.67,2.3
Assistance Divine,Sacred Help,11,32,0.34,34%,20.0,6.88,220,2,10.0,3.44,6.67,2.29
Marteau Collecteur,Collecting Hammer,19,32,0.59,59%,11.37,6.75,216,2,5.68,3.38,3.79,2.25
Lame Affutée,Sharp Blade,27,32,0.84,84%,7.89,6.66,213,3,2.63,2.22,1.97,1.67
Gantelet Impérieux,Imperious Gauntlet,7,32,0.22,22%,30.0,6.56,210,1,30.0,6.56,15.0,3.28
Explosion Arcanique,Arcane Explosive,16,32,0.5,50%,12.0,6.0,192,1,12.0,6.0,6.0,3.0
Esprit de l'Écuyer,Spirit of the Squire,29,32,0.91,91%,6.52,5.91,189,3,2.17,1.97,1.63,1.48
Aveuglement,Incapacitor,27,32,0.84,84%,6.89,5.81,186,3,2.3,1.94,1.72,1.45
Sabre Versatile,Versatil Saber,14,32,0.44,44%,11.0,4.81,154,1,11.0,4.81,5.5,2.4
Faux Assoiffées,Thirsty Scythes,6,32,0.19,19%,25.0,4.69,150,3,8.33,1.56,6.25,1.17
Armure d'Immortel,Immortal Breastplate,9,32,0.28,28%,15.11,4.25,136,1,15.11,4.25,7.55,2.12
Parchemin Secret,Secret Scroll,6,32,0.19,19%,18.0,3.38,108,2,9.0,1.69,6.0,1.13
